L,U,V,t0,density,chi,E_p,rel_diff
64,8.0,-1.0,1.0,0.875,1000,-0.20424737034323925,1.6988911755198374e-09
64,8.0,-1.0,1.0,0.9375,1000,-0.2713195876256691,1.1650620566934958e-08
64,8.0,-0.8,1.0,0.875,1000,-0.17282824705557687,1.645595295604563e-08
64,8.0,-0.8,1.0,0.9375,1000,-0.22777472737180915,8.161698110195802e-11
64,8.0,-0.6,1.0,0.875,1000,-0.146731728837608,3.574478925296858e-08
64,8.0,-0.6,1.0,0.9375,1000,-0.19582361348716404,1.0395741278046287e-09
64,8.0,-0.4,1.0,0.875,1000,-0.12576628472851326,6.898343690578549e-09
64,8.0,-0.4,1.0,0.9375,1000,-0.17882744409052975,3.375464676589242e-09
64,8.0,-0.2,1.0,0.875,1000,-0.10656267613848058,1.1766754187384712e-09
64,8.0,-0.2,1.0,0.9375,1000,-0.1545120066237189,1.620612322657248e-09
64,8.0,0.0,0.0,0.875,1000,0.002849469769842017,9.808396195275159e-08
64,8.0,0.0,0.0,0.9375,1000,-0.0011860401165364465,5.712632588989425e-07
64,8.0,0.0,0.2,0.875,1000,0.008827118358681219,4.323094496794853e-08
64,8.0,0.0,0.2,0.9375,1000,0.0005545801671473782,2.981995639888736e-09
64,8.0,0.0,0.4,0.875,1000,0.02017639754703282,8.0253285254159e-09
64,8.0,0.0,0.4,0.9375,1000,0.012921719859022573,8.218545363866095e-09
64,8.0,0.0,0.6,0.875,1000,0.0188502019646819,5.374681679640346e-09
64,8.0,0.0,0.6,0.9375,1000,-0.024858002387958322,1.6011379772685552e-08
64,8.0,0.0,0.8,0.875,1000,-0.029497183562028795,4.829365555469591e-08
64,8.0,0.0,0.8,0.9375,1000,-0.08127700914923253,2.1660167661530264e-09
64,8.0,0.0,1.0,0.875,1000,-0.0896412375004445,1.7768990609580185e-09
64,8.0,0.0,1.0,0.9375,1000,-0.13251724,6.081926095271969e-10
64,8.0,0.0,1.2,0.875,1000,-0.15524509269530995,4.366094106056112e-09
64,8.0,0.0,1.2,0.9375,1000,-0.17989619749147323,1.674855412083639e-09
64,8.0,0.0,1.4,0.875,1000,-0.08412801804161063,1.848572047795789e-08
64,8.0,0.0,1.4,0.9375,1000,-0.14653773091916378,1.3241418614180932e-10
64,8.0,0.0,2.0,0.875,1500,0.013823011713441247,8.959494840900031e-07
64,8.0,0.0,2.0,0.9375,1500,0.008800985923073767,9.687447794926581e-07
64,8.0,0.2,1.0,0.875,1000,-0.0754757584358714,1.176045331684459e-09
64,8.0,0.2,1.0,0.9375,1000,-0.11473802579720882,3.3923023297318167e-09
64,8.0,0.4,1.0,0.875,1000,-0.06437371538615366,3.204820940996302e-09
64,8.0,0.4,1.0,0.9375,1000,-0.09991495929269512,1.3818855997202321e-08
64,8.0,0.6,1.0,0.875,1000,-0.053373821026746704,3.2384121845660417e-07
64,8.0,0.6,1.0,0.9375,1000,-0.08764618856895368,2.222024927800172e-08
64,8.0,0.8,1.0,0.875,1000,-0.044773416128776944,2.20188363470072e-10
64,8.0,0.8,1.0,0.9375,1000,-0.07754120641791928,7.885959766377175e-09
64,8.0,1.0,1.0,0.875,1000,-0.038969148914802076,4.943474611597634e-09
64,8.0,1.0,1.0,0.9375,1000,-0.06920022840827755,2.996068323891865e-09
