run_id,selection,geometry,V,t0,source,channel,kx_multiple,kx_period,kx_over_pi,ky_over_pi,amplitude
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-27,54,-1.0,0.0,0.00010496264353187142
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-26,54,-0.9629629629629629,0.0,0.00010526975073030518
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-25,54,-0.9259259259259259,0.0,0.00010649695582516644
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-24,54,-0.8888888888888888,0.0,0.0001084798607486928
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-23,54,-0.8518518518518519,0.0,0.00011140467574803716
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-22,54,-0.8148148148148148,0.0,0.00011499591658258668
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-21,54,-0.7777777777777778,0.0,0.00012016707613083817
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-20,54,-0.7407407407407407,0.0,0.00012650273199878528
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-19,54,-0.7037037037037037,0.0,0.0001340098996234171
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-18,54,-0.6666666666666666,0.0,0.00014271534390250038
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-17,54,-0.6296296296296297,0.0,0.00015482588121275867
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-16,54,-0.5925925925925926,0.0,0.00016523572106754455
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-15,54,-0.5555555555555556,0.0,0.00017108912933041473
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-14,54,-0.5185185185185185,0.0,0.00020758947622651
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-13,54,-0.48148148148148145,0.0,0.00020011523116740643
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-12,54,-0.4444444444444444,0.0,0.00022212515606646172
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-11,54,-0.4074074074074074,0.0,0.00041302744180471754
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-10,54,-0.37037037037037035,0.0,0.0003736039606762721
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-9,54,-0.3333333333333333,0.0,0.0008049518581278127
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-8,54,-0.2962962962962963,0.0,0.0016818631544184988
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-7,54,-0.25925925925925924,0.0,0.0027381609494477738
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-6,54,-0.2222222222222222,0.0,0.003106295919855822
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-5,54,-0.18518518518518517,0.0,0.0029037853374305426
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-4,54,-0.14814814814814814,0.0,0.007645882755668681
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-3,54,-0.1111111111111111,0.0,0.009771580894731397
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-2,54,-0.07407407407407407,0.0,0.004927040766658848
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-1,54,-0.037037037037037035,0.0,0.003439537018334819
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,0,54,0.0,0.0,1.850371707708594e-17
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,1,54,0.037037037037037035,0.0,0.003439537018334849
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,2,54,0.07407407407407407,0.0,0.004927040766658822
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,3,54,0.1111111111111111,0.0,0.009771580894731324
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,4,54,0.14814814814814814,0.0,0.007645882755668677
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,5,54,0.18518518518518517,0.0,0.0029037853374305634
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,6,54,0.2222222222222222,0.0,0.0031062959198558124
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,7,54,0.25925925925925924,0.0,0.0027381609494477595
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,8,54,0.2962962962962963,0.0,0.001681863154418468
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,9,54,0.3333333333333333,0.0,0.0008049518581278111
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,10,54,0.37037037037037035,0.0,0.0003736039606762656
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,11,54,0.4074074074074074,0.0,0.00041302744180470236
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,12,54,0.4444444444444444,0.0,0.0002221251560664611
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,13,54,0.48148148148148145,0.0,0.00020011523116741171
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,14,54,0.5185185185185185,0.0,0.00020758947622647513
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,15,54,0.5555555555555556,0.0,0.00017108912933041733
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,16,54,0.5925925925925926,0.0,0.000165235721067541
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,17,54,0.6296296296296297,0.0,0.00015482588121273468
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,18,54,0.6666666666666666,0.0,0.00014271534390252735
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,19,54,0.7037037037037037,0.0,0.00013400989962340584
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,20,54,0.7407407407407407,0.0,0.00012650273199879154
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,21,54,0.7777777777777778,0.0,0.00012016707613084626
