run_id,selection,geometry,V,t0,iteration,alpha_step_rel_l2,beta_step_rel_l2,cdw_value,cdw_abs_kx_over_pi,cdw_ky_over_pi,sdw_value,sdw_abs_kx_over_pi,sdw_ky_over_pi,swave_value,swave_abs_kx_over_pi,swave_ky_over_pi,extended_swave_value,extended_swave_abs_kx_over_pi,extended_swave_ky_over_pi,dwave_value,dwave_abs_kx_over_pi,dwave_ky_over_pi
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,1,,,0.0020759143366645494,0.14814814814814814,0.0,1.0592543481025293e-05,0.9629629629629629,1.0,5.0284491861113404e-05,0.0,0.0,0.001700450625178393,0.0,,0.011523427397058462,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,2,0.5894953593546457,0.04154727262902232,0.0018065818178599003,0.14814814814814814,0.0,2.0645856309760103e-05,0.8888888888888888,1.0,5.152101828023891e-05,0.0,0.0,0.0023046562285748123,0.0,,0.01809221559038361,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,3,0.08497215910329392,0.018206686066462537,0.0007385036374422013,0.14814814814814814,0.0,4.758807072861032e-05,0.8888888888888888,1.0,2.354799464647148e-05,0.0,0.0,0.0023957850952105162,0.0,,0.019518862858283036,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,4,0.030332973695085908,0.009626623973732065,0.0005903901621754719,0.14814814814814814,0.0,9.817180423370385e-05,0.8888888888888888,1.0,1.9982588292258864e-05,0.0,0.0,0.0024150764929284263,0.0,,0.019896989261000666,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,5,0.010820525343743531,0.005063305188414812,0.00032890244060785,0.07407407407407407,0.0,0.0001976594201673947,0.9629629629629629,1.0,1.777933239944828e-05,0.0,0.0,0.0024185983411837216,0.0,,0.019987339627000812,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,6,0.009194240495399781,0.004571405105618441,0.00026626025858294226,0.14814814814814814,0.0,0.0004228330639947396,0.9629629629629629,1.0,1.762095642917862e-05,0.0,0.0,0.002416248120950989,0.0,,0.019978748671776788,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,7,0.016971480277629986,0.00879952050890416,0.0002708904986833641,0.07407407407407407,0.0,0.0009118346494992927,0.9629629629629629,1.0,1.742874062059212e-05,0.0,0.0,0.002412213897448043,0.0,,0.01996780556053386,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,8,0.03723724135494393,0.01938902596156695,0.0002531703290480054,0.037037037037037035,0.0,0.0019474248786831784,0.9629629629629629,1.0,1.7949172087004962e-05,0.0,0.0,0.0024243219497498587,0.0,,0.02000733850045556,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,9,0.08349909391604181,0.04376248583476177,0.0004965279855245422,0.1111111111111111,0.0,0.004277903075861068,0.9629629629629629,1.0,1.673723975478995e-05,0.0,0.0,0.0023759375267701343,0.0,,0.01975373923465796,0.0,
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,10,0.18471237273473892,0.09623944515066264,0.0015220683184104496,0.1111111111111111,0.0,0.009174395356709794,0.9629629629629629,1.0,1.53611420343248e-05,0.0,0.0,0.002289963978159795,0.0,,0.01887896708999336,0.0,
