run_id,selection,geometry,V,t0,distance,count,mean,mean_abs,std
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,1,47,0.06391029305829389,0.06391029305829389,6.899614800596113e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,2,46,0.0230479113649781,0.0230479113649781,0.0001013997463201415
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,3,45,0.01619713753296007,0.01619713753296007,7.861804752600548e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,4,44,0.015972112709496417,0.015972112709496417,8.103317054623246e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,5,43,0.015280082098730299,0.015280082098730299,8.062997227343532e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,6,42,0.014351478057374092,0.014351478057374092,7.742343443376107e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,7,41,0.013609209047087498,0.013609209047087498,7.504844057707537e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,8,40,0.013015452250620323,0.013015452250620323,7.307471853886975e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,9,39,0.012594320155101391,0.012594320155101391,7.164433382683557e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,10,38,0.012304937978685544,0.012304937978685544,7.055458919888254e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,11,37,0.012112812598703565,0.012112812598703565,6.952399456518148e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,12,36,0.011990918452312172,0.011990918452312172,6.849425094527098e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,13,35,0.011913984222374096,0.011913984222374096,6.770440258912458e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,14,34,0.011865058564079317,0.011865058564079317,6.74038316000715e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,15,33,0.011833186268949579,0.011833186268949579,6.763312116672111e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,16,32,0.01181150792887375,0.01181150792887375,6.824588181206325e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,17,31,0.011796094319482649,0.011796094319482649,6.904424526726006e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,18,30,0.01178466654330239,0.01178466654330239,6.986461006478417e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,19,29,0.011775954197826857,0.011775954197826857,7.070017423021336e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,20,28,0.011769138355948141,0.011769138355948141,7.163613447979774e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,21,27,0.011763545966442157,0.011763545966442157,7.250466820576083e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,22,26,0.01175888134517623,0.01175888134517623,7.31153434032513e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,23,25,0.01175491179413113,0.01175491179413113,7.344120646893772e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,24,24,0.011751381207731323,0.011751381207731323,7.358944667904366e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,25,23,0.011748055755811912,0.011748055755811912,7.369364742158801e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,26,22,0.011744727567783182,0.011744727567783182,7.385292257105754e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,27,21,0.011741223590116576,0.011741223590116576,7.401675376579261e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,28,20,0.011737497441538413,0.011737497441538413,7.421186685732903e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,29,19,0.011733587464738723,0.011733587464738723,7.475046154548357e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,30,18,0.011729218539460372,0.011729218539460372,7.560252512844309e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,31,17,0.011724278667848764,0.011724278667848764,7.625235396846389e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,32,16,0.011718791758484105,0.011718791758484105,7.590561212504968e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,33,15,0.011712739785342248,0.011712739785342248,7.357195556847168e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,34,14,0.011706147881526208,0.011706147881526208,6.843651865691948e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,35,13,0.011698856198954749,0.011698856198954749,6.023527328778476e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,36,12,0.011690435027099615,0.011690435027099615,4.986797127177634e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,37,11,0.011679909103966775,0.011679909103966775,3.973505079975525e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,38,10,0.011666334519798871,0.011666334519798871,3.611422730309333e-05
no_explicit_geometry__V_-0.2__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.2,1.2,39,9,0.011648854795272508,0.011648854795272508,4.5565286108286214e-05
