L,U,V,t0,density,chi,E_N,E_p,rel_diff
64,4.0,-1.0,1.0,0.875,1500,-246.63247703613678,-0.1343685659888365,7.625386464253519e-07
64,4.0,-1.0,1.0,0.9375,1500,-258.8874543090177,-0.22091350879532,7.310358614771649e-07
64,4.0,-0.8,1.0,0.875,1500,-218.74465204951102,-0.10422724144933682,6.371924404521485e-07
64,4.0,-0.8,1.0,0.9375,1500,-226.69310005925828,-0.18572075698045865,9.828615083472287e-07
64,4.0,-0.6,1.0,0.875,1500,-191.16054519866108,-0.0774542671058498,7.762441089063375e-07
64,4.0,-0.6,1.0,0.9375,1500,-194.82225953673662,-0.1448535567741942,4.3425774364965796e-07
64,4.0,-0.4,1.0,0.875,1500,-163.8592805532677,-0.05767994916328689,6.847580207463951e-07
64,4.0,-0.4,1.0,0.9375,1500,-163.24175823854193,-0.12224161808569534,9.913402253971024e-07
64,4.0,-0.2,1.0,0.875,1500,-136.80001166109278,-0.043493079067616236,7.416367367331063e-07
64,4.0,-0.2,1.0,0.9375,1500,-131.85340894693152,-0.10301272337079581,8.323939336541574e-07
64,4.0,0.0,0.0,0.875,1500,-91.56551834010881,0.0006289246688311323,5.82723930394959e-07
64,4.0,0.0,0.0,0.9375,1500,-83.00312530444364,-0.0002347966761817588,6.91533588576875e-07
64,4.0,0.0,0.2,0.875,1500,-92.25691864803142,0.012614268809414853,8.393275515264065e-07
64,4.0,0.0,0.2,0.9375,1500,-83.66223864913349,0.008089003936930794,6.361084187559636e-07
64,4.0,0.0,0.4,0.875,1500,-94.46436506181864,0.00546353324804727,2.7588741690818085e-07
64,4.0,0.0,0.4,0.9375,1500,-85.49817114021232,-0.0007135788312666591,7.502058690831623e-07
64,4.0,0.0,0.6,0.875,1500,-97.93865518818755,-0.0005029030216121555,7.521978746674118e-07
64,4.0,0.0,0.6,0.9375,1500,-88.77911307541414,-0.030751241532755103,6.914475471267419e-07
64,4.0,0.0,0.8,0.875,1500,-103.05008661796174,-0.013535216146436824,7.936836641482915e-07
64,4.0,0.0,0.8,0.9375,1500,-93.78147186040862,-0.05961972898398926,8.059751826165331e-07
64,4.0,0.0,1.0,0.875,1500,-109.96424080543012,-0.03185239027828857,8.593293247347394e-07
64,4.0,0.0,1.0,0.9375,1500,-100.64168959133801,-0.08537835155152607,4.3366767055466053e-07
64,4.0,0.0,1.1,0.875,1500,-114.15512461482824,-0.047126910830087354,8.016368117577317e-07
64,4.0,0.0,1.1,0.9375,1500,-104.81895416358567,-0.09914170255143517,8.432580967863576e-07
