branch	seed	rung	charge_even	charge_odd	spin_even	spin_odd
square__legacy_pairing_mixed_chi200_loose	legacy pairing	1	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	2	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	3	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	4	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	5	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	6	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	7	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	8	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	9	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	10	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	11	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	12	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	13	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	14	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	15	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	16	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	17	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	18	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	19	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	20	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	21	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	22	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	23	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	24	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	25	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	26	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	27	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	28	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	29	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	30	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	31	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	32	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	33	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	34	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	35	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	36	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	37	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	38	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	39	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	40	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	41	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	42	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	43	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	44	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	45	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	46	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	47	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	48	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	49	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	50	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	51	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	52	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	53	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	54	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	55	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	56	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	57	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	58	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	59	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	60	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	61	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	62	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	63	0	0	0	0
square__legacy_pairing_mixed_chi200_loose	legacy pairing	64	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	1	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	2	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	3	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	4	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	5	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	6	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	7	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	8	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	9	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	10	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	11	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	12	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	13	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	14	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	15	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	16	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	17	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	18	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	19	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	20	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	21	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	22	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	23	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	24	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	25	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	26	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	27	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	28	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	29	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	30	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	31	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	32	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	33	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	34	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	35	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	36	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	37	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	38	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	39	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	40	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	41	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	42	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	43	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	44	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	45	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	46	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	47	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	48	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	49	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	50	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	51	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	52	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	53	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	54	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	55	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	56	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	57	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	58	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	59	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	60	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	61	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	62	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	63	0	0	0	0
square__pairing_dwave_m000_chi200_loose	d-wave, q=0	64	0	0	0	0
square__stripe_m004_chi200_loose	stripe, m=4	1	0.0001916071155079757	0	0	-0.0009580355775398782
square__stripe_m004_chi200_loose	stripe, m=4	2	0.0001763225780682086	0	0	0.0009387386002139614
square__stripe_m004_chi200_loose	stripe, m=4	3	0.000132869365308066	0	0	-0.0008816128903410432
square__stripe_m004_chi200_loose	stripe, m=4	4	6.80716989722025e-05	0	0	0.0007889237693344555
square__stripe_m004_chi200_loose	stripe, m=4	5	-7.894104494082809e-06	0	0	-0.0006643468265403298
square__stripe_m004_chi200_loose	stripe, m=4	6	-8.309779977782838e-05	0	0	0.0005128221636527496
square__stripe_m004_chi200_loose	stripe, m=4	7	-0.0001457288288089878	0	0	-0.0003403584948610127
square__stripe_m004_chi200_loose	stripe, m=4	8	-0.0001859511402795987	0	0	0.0001537948711424249
square__stripe_m004_chi200_loose	stripe, m=4	9	-0.0001974479176616597	0	0	3.947052247041395e-05
square__stripe_m004_chi200_loose	stripe, m=4	10	-0.0001784136199325267	0	0	-0.0002317737420968748
square__stripe_m004_chi200_loose	stripe, m=4	11	-0.0001318375374163557	0	0	0.0004154889988891421
square__stripe_m004_chi200_loose	stripe, m=4	12	-6.503433098395915e-05	0	0	-0.0005833310598743025
square__stripe_m004_chi200_loose	stripe, m=4	13	1.150471770811296e-05	0	0	0.0007286441440449388
square__stripe_m004_chi200_loose	stripe, m=4	14	8.575933657358712e-05	0	0	-0.0008456658575167334
square__stripe_m004_chi200_loose	stripe, m=4	15	0.0001460680176935911	0	0	0.0009297557013979934
square__stripe_m004_chi200_loose	stripe, m=4	16	0.0001829594288708401	0	0	-0.0009775790908859794
square__stripe_m004_chi200_loose	stripe, m=4	17	0.0001906398633951663	0	0	0.0009872395883082981
square__stripe_m004_chi200_loose	stripe, m=4	18	0.0001679031276399068	0	0	-0.0009583541064048893
square__stripe_m004_chi200_loose	stripe, m=4	19	0.0001183199708474708	0	0	0.0008920680996626334
square__stripe_m004_chi200_loose	stripe, m=4	20	4.967730761538941e-05	0	0	-0.0007910101412898379
square__stripe_m004_chi200_loose	stripe, m=4	21	-2.724469816776362e-05	0	0	0.0006591876870817787
square__stripe_m004_chi200_loose	stripe, m=4	22	-0.0001003656319327491	0	0	-0.0005018281596637457
square__stripe_m004_chi200_loose	stripe, m=4	23	-0.0001582020282579675	0	0	0.0003251716549197962
square__stripe_m004_chi200_loose	stripe, m=4	24	-0.0001916708212809778	0	0	-0.0001362234908388188
square__stripe_m004_chi200_loose	stripe, m=4	25	-0.000195515818177196	0	0	-5.752358854056464e-05
square__stripe_m004_chi200_loose	stripe, m=4	26	-0.0001691331715033468	0	0	0.0002483865380769464
square__stripe_m004_chi200_loose	stripe, m=4	27	-0.0001166662119748607	0	0	-0.0004287966828679355
square__stripe_m004_chi200_loose	stripe, m=4	28	-4.635474841937511e-05	0	0	0.0005915998542373538
