t0,V,family,job_id,campaign,source,compact_sha256,full_sha256,config_sha256
1.0,-0.4,stripe,58383141,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t010_vm04_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T222902_819436_7ec03df9a3ca/state.h5,4078b5b11c8e7561a0ad1679c28fe64f6b5b3b5c81e2aea1cfd2b69e409e2fec,2046e3196ff680b10a9fa2a56e89ff20ed7526c0e3820c40825fc9e8d2582930,da546e6b437a076c1735fadb7a1cdff28e3268e43f6f78be83cf9591f835b3d0
1.0,-0.4,pairing,58383142,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t010_vm04_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260915T222902_819438_7ec03df9a3ca/state.h5,94e4f6573ded6d9f21b9cb09762834c43b7fe3b235d178b14bc7d79b59e85d0f,905b4410e72206ebc2d020758fac912e6fea85fb1b9000773d7527c00939aafd,70fe4b5649c73288d5b6e63b27dc2a5b885e7efb565986b7f5dd6ef78472a23d
1.0,-0.2,stripe,58383146,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t010_vm02_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T230916_2216131_dcf7fb03060b/state.h5,2dc764ab286044a78994b5c7197e3c0b639b07ed796bc4c9d239b4425d573914,d02ebcc202ee11021e6ace3ef8ad9487949c7c58e077596227f5edb551d65873,a59866aed23108475f0a82b0911de649fc9776c8f2890fb741e83da78b0798f2
1.0,-0.2,pairing,58383148,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t010_vm02_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260915T231533_1088834_dcf7fb03060b/state.h5,d1c081955e7effb14c109f72c5374f1fec261262181344066751360de14b314f,c22584014119ab4a959d7e18f55dbd613c302dcaaac2a587d9a43753104d05d6,c0132e927b92a81943a8d5151f5199803857115262a07326a9f2a8e6ae1006a6
1.0,0.0,stripe,58383153,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t010_v000_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T235724_1941350_07e90a06dd48/state.h5,a149adb5314ab4ded7575295d23cc8e718040290504d39c4193076cc32ed352a,9bcff315ee31291671048d5c79ebf02cafc089b1b7523b835cba978bc76c806e,cd7fc8ca4b155a15b4b16531b111565622da6e5c49902ce2b99daf138b3c8369
1.0,0.0,pairing,58383156,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t010_v000_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260916T000012_1985827_07e90a06dd48/state.h5,4ea7da25bf3bf83f43668e9b8c47c5346a48028bd47886d0ca7f651d5538ff14,65ae965e704f7d45b63e42ea3d2ea03f3d399e31b6761f4e06121e3e0e886244,b64ab9d23f985a9426c8abfba89ad666e3c3343ed3b3623cddb83ae08605c1eb
1.2,-0.4,stripe,58383157,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t012_vm04_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260916T003106_1891951_1981c9c3faad/state.h5,b8245d0b777363a283e11cf3739789cc99d45f07196f2e9312129c801daecf8d,f9fda0d1a8de5656eb1a4a6d4a0ef12a6d44b97e7f53883d516983e40ef2a166,6fd57c21aa95acac1ab85726294f693c388f653c6ad235967b3814aec8d79825
1.2,-0.4,pairing,58383158,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t012_vm04_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260916T003559_684539_1981c9c3faad/state.h5,43a1c9726ae897bd9a1ea9d0b8719e5a86bfa7f9eee5316d2aaaf7a674585fbc,3cc095fb798b84365159f2c82f2ec6b79b82832a60b2bd770f5e6b6fb401ace7,97503bfc22a34aeaeff166ce26a1f04d4f3a15d7314dd6ff9e3ccdcb1600241b
1.2,-0.2,stripe,58383161,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t012_vm02_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T031701_696038_499a99997b0a/state.h5,5431ebb66810638e3d3ff865e336de45e8e6db3f6da0d2feb8ea1969784d19c8,c4099d897f5fd54ce18bbfa17b212774d22e67ee9fec7ba8ac9d284b01cba402,ed47939198d2b653a018dff6135dc8f2898aa7c966efa40516825f30de9f51f8
1.2,-0.2,pairing,58383164,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t012_vm02_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T034415_556303_499a99997b0a/state.h5,9a3a7f567784cbf05c9c32b9effd2ccdcb8f199fa12341336470c5537b1fcc9f,581d2996ae69c1f84e3162764f863dbfc1d21589dca87def37a57f00495830ab,efec1169ec3da545ccacdb030b2a27677ba29eaac5d5632906732423b383ad0e
1.2,0.0,stripe,58383165,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t012_v000_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T093213_714995_2ab0f11aa2d6/state.h5,34859ec1ae09eb13c0626bf1d9e83ab0f04adb5ad9cdb4a5337bf683467e262e,f919f4b3c9490323505b57e71f345fd07f48af38d3b4fb7a8a1891ce14b6d870,e071645928eb540ba53b277d1949b06d2a3261a7788660126c6e68197716fe42
1.2,0.0,pairing,58383168,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t012_v000_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T095656_642128_2ab0f11aa2d6/state.h5,fc52fe1a4d1ef35bf44b6985c2542ff3d1ba19a5a9ef14d880b28c746941f483,55150049cbd05901fb1cb6cd35e156d2e4041ceb837d984cea136e372666394f,0c477633f3af823e74f180f2421f31931d97344d1b820f3c6b1b61f745052a2a
1.4,-0.4,stripe,58383169,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t014_vm04_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T133032_961668_dbc069e085f1/state.h5,70c11d2d90576756203e0bffcd468aa7c1f99fd7ede3661e94d501e4f2b93c06,0929ad19652c977176f8aaefdca8895e5d478a5e1938841c49033bb29d9a34d8,bda991b79aea71ffe461b31385ca11365beaa0e815a432b3f9f2453dc7818eb6
1.4,-0.4,pairing,58383170,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t014_vm04_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T140142_966772_dbc069e085f1/state.h5,ebd658b5885b3b540aba033c364cece3b1530e35acae775f01cd384eaecb32cf,4c20c210b57f195a591779ba63ba501c1c95c63c756a9d0ac31b253b3e647af5,a8064d37b81ff05072bb4f5493020fad8d2f11e92c25174ccb8391abdf594735
1.4,-0.2,stripe,58383171,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t014_vm02_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T170215_863841_d83ac1687fd0/state.h5,64e63603d19ef581aaef634294c11ec5095b7fa197f6395a9bea4cf839ce539e,4b1b94f84ef9024d9818611d3b59d572eb9328b2a91f8ea1a340d7d1a75ac11b,a4035cd28865ea9dd1476c6632ad8001c62eedee8b6dd2375dee5159e21cea51
1.4,-0.2,pairing,58383173,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t014_vm02_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T170713_874315_d83ac1687fd0/state.h5,d9697cb837f32199e28369a3d8147f3cb73b21dd26bb619f5b29dd95b36e975a,4b9a7256dacab1e717a6f09ad2ca8a7881acd6a6d7fdf5b647c24dc3eca1605c,68e1503dd98c54cb206e1fb062d9d3e32768c6f7b390cf399b99bf159fbfbf24
1.4,0.0,stripe,58383174,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__stripe_weak_other_t014_v000_chi200_raw/cubic_unfrustrated__stripe_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T201616_813271_a09fb7a4b8e2/state.h5,001e17d9e3fd6307121d2c9ec0334eb19c512e9301ed91034c672f8a230f7d11,ed52bd06d49319d93c7addc39129bd343c3f4fb8f6cc2c22b66aba8c4cb64f1e,a2035bb66688141372b6fa1eacbd655a57ee62239da19cbd63ee3127b38e9f93
1.4,0.0,pairing,58383176,20260915_cubic_unfrustrated_two_basin_95_5_60,output/phase1_gpu/20260915_cubic_unfrustrated_two_basin_95_5_60/results/cubic_unfrustrated__pairing_weak_other_t014_v000_chi200_raw/cubic_unfrustrated__pairing_weak_other__cubic_unfrustrated_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T201616_813494_a09fb7a4b8e2/state.h5,5371e986097f303491b9293712292e1e4091231366eb6b100e0e1331cb526a2d,5e14326fb8874be4b12edd4d7645f6b41a4f64a17f9e84634410a1fa6fb4d40b,3d46dbb4623d9523af9d4e5296ce3fdb3d21f80e01ca79487da387d07147d877
