parent_index,campaign,label,result_run,mps,source_sha256,compact_sha256,config_sha256
1,20260908_square_two_basin_95_5_80_anchors,square__stripe_weak_other_t014_vm04_chi200_raw,20260921_latest_correlations_retry1,1,ae97780dee31476e45346b4c8c15091292b99dd0656b1f00e240ea992c1e2d30,641277827094e384dbd6bede51334d20c4e00dd86d83d430a7ec8614af5e5f79,311fbdb0aabf255bc289a95fe7038b3022a14c47157f70168b25ae55420eaf4c
2,20260908_square_two_basin_95_5_80_anchors,square__pairing_weak_other_t014_vm04_chi200_raw,20260921_latest_correlations_retry1,1,57038bae236ae83115ca95731af069bab8380c4fdba56721aa455420936bfb5e,026b622a94291f03684a287c39f8ec7306dda36e160a72da138ef2158d91e90a,51f8b04b206598da83e09edf1d919dcd74bdb4147545d5107794fe4f7f97face
3,20260910_square_two_basin_95_5_40_remainder,square__stripe_weak_other_t010_vm04_chi200_raw,20260921_latest_correlations_retry1,1,f3e6b660c55215ca5b7e7b83fe6da9364f172522f47b43fb92e9129766968ba3,26c658924f2232d8d491df1947037a19910cb122f00836307fa848c55b0df3bd,2e1cb254b560201f99c257d6f35fb099c5b1ec3c01ae8815a45a14be5c7dc5e6
4,20260910_square_two_basin_95_5_40_remainder,square__pairing_weak_other_t010_vm04_chi200_raw,20260921_latest_correlations_retry1,1,d1b962e15d313a57b58102f0e84400c98edff533885d9d2140befea2be2b72b1,80f777ce99b180190f130e2825919d7f98d4a41affd6e79703c7ffa0c456622c,dbcf769d517c905c858432b0ea07935d333f8f32122fb0547037666d91499e46
5,20260910_square_two_basin_95_5_40_remainder,square__stripe_weak_other_t010_vm02_chi200_raw,20260921_latest_correlations_retry1,1,99e0d6b8e413aad770ee01b551bdee77401343b5015673e8bea5a568892ee710,fbfde1cbba0d7f1958d31540cd2c24816e08f2cf217d1ad9530e7191f3c1e629,66825ba3dd885d3d643c5ab5dc090fa61675f40e873968af532d5851c9467f4f
6,20260910_square_two_basin_95_5_40_remainder,square__pairing_weak_other_t010_vm02_chi200_raw,20260921_latest_correlations_retry2,1,48b59eaa180a18ea547d5cb38584afac04709f72e77b7d231feab660588c0f52,4e911d497cc13082adda7ed02c804e50e18137895b3438fd2fe0121ebdc56f10,b70266279ef403e48b5458dcb3f96b3a5f03ffbd18da614caecfded5a3e02858
7,20260910_square_two_basin_95_5_40_remainder,square__stripe_weak_other_t010_v000_chi200_raw,20260921_latest_correlations_retry1,1,33018eda464eb220e8b95b08f993bf10fc1ec119ea03b465636a154fd495f81c,aa2e81395e9be1939f1b2b0fb3990263d5b12b455f7926315b07f6ec73c59f40,55fbabc5210a596eb965df9f274079be7d30a5b8836a1c55c0b795663322a7f0
8,20260910_square_two_basin_95_5_40_remainder,square__pairing_weak_other_t010_v000_chi200_raw,20260921_latest_correlations_retry1,1,36e1c71f0e70f5f0f17da919dc0eb935c47da71c4734ecd5f560dacb00e4d04a,a39c70fb204fb4eab46bca54a523f268c9aef6555e2bb7f021e191bb2688ecab,a8ecb67ed58c0c3c035c082f9dbbce2fba3850346f5b7e51149700d7ff0ebe86
9,20260910_square_two_basin_95_5_40_remainder,square__stripe_weak_other_t012_vm04_chi200_raw,20260921_latest_correlations_retry1,1,3a7517a78e398ce7aff87c4c4e34d2813100b80ded04c1da2490a97df39dcb3f,40a1fe9803d61578acdfa15419469f37b06b79a3b5558ba9b48ad472c36ca4cd,aef4d80522254a458cee9994ecf2cb78888e7d8cb2816e91a3202af0c2994da1
10,20260910_square_two_basin_95_5_40_remainder,square__pairing_weak_other_t012_vm04_chi200_raw,20260921_latest_correlations_retry1,1,ff38cea3ce77a4d34db98ff9550de422467a191595b9bfc142ed41ee57bb4052,52067a103397353854e7280480a542db2b11a6521165ad627a27dadf0ba66372,d6794bf2b03ab126bdf49c856e3375b45a0d795d6c4b57b459f9f5ed948d0a50
11,20260910_square_two_basin_95_5_40_remainder,square__stripe_weak_other_t012_vm02_chi200_raw,20260921_latest_correlations_retry2,1,09879e9b48727e0b3236492c1db73d9ac34cc69247c8756e224dca839f82766c,f4091a2a6aa3aa1d70f6fdfab68db8eeb65fab989cc7ce34327bd492356168f0,90633ea559fe03bd254f8a20326f67aed8cdabc0b35a5703715f09db968647f5
12,20260910_square_two_basin_95_5_40_remainder,square__pairing_weak_other_t012_vm02_chi200_raw,20260921_latest_correlations_retry1,1,9b6b07dabf7d4228cc763e8507d4be9af3388daa628914ee1fb640cec548a414,24371474f9983185b4d7ee67e4f93b5a312051e99f018e52ce9fb162d0635dbd,711d39297dc1d5078b04ee636c4e9c8845f8dfd230d713b0c1264d6daa248858
13,20260910_square_two_basin_95_5_40_remainder,square__stripe_weak_other_t012_v000_chi200_raw,20260921_latest_correlations_retry1,1,fc60608b1122577ea5ddab083bcf43125be52f09cea565479abe1a5bf1913242,857dac047e4ba9d84ae3cc7025bdb345406baf0657a08e04911575ae288a6965,17ca6e5a45e2ce4eaf7c01860cea27f13d56116a0393170620cb39365bce4d5e
14,20260910_square_two_basin_95_5_40_remainder,square__pairing_weak_other_t012_v000_chi200_raw,20260921_latest_correlations_retry1,1,005f43a840ed2f192f0db141415952cbc62e6bffe0bf592ea8073807f55116ec,54f4d4cb1598891163d824a9e56f346a2b4ba79bb06554d568cc748dd246e435,bf6da1f1cdcbbbee9865263df802e218bce0f187d288e279c0426c274c252318
