id,reference,direction,window_low,window_high,actual_low,actual_high,points,fit,exponent_or_inverse_length,r2,log_rmse,sign_changes,minimum_magnitude
backfill_1,16,1,4,12,4,12,9,power,1.549297938232326,0.9367600018793153,0.1408237232324575,0,0.0016115671521113248
backfill_1,16,1,4,12,4,12,9,exponential,0.21580085082228603,0.9900457177733772,0.055870797839103155,0,0.0016115671521113248
backfill_1,16,1,8,20,8,20,13,power,3.202724383748102,0.9898459265837679,0.0914799449999305,0,0.0002485984811235898
backfill_1,16,1,8,20,8,20,13,exponential,0.24249029953438186,0.9988615254196734,0.030631440047069983,0,0.0002485984811235898
backfill_1,16,1,12,28,12,28,17,power,4.119413235955251,0.9940754816241126,0.08146053964641975,0,4.8144222396967126e-05
backfill_1,16,1,12,28,12,28,17,exponential,0.2158596563929534,0.9984186613739495,0.04208556839333297,0,4.8144222396967126e-05
backfill_1,24,-1,4,12,4,12,9,power,1.6433248034176682,0.9350239433771013,0.1515471747213183,0,0.0015093088008918537
backfill_1,24,-1,4,12,4,12,9,exponential,0.22902645037393274,0.9893220465859007,0.061434903418323944,0,0.0015093088008918537
backfill_1,24,-1,8,20,8,15,8,power,2.846740182890901,0.9956166073224842,0.03871312259345497,0,0.0007620327900521445
backfill_1,24,-1,8,20,8,15,8,exponential,0.2549443289886288,0.9980308992506209,0.0259469898938485,0,0.0007620327900521445
backfill_1,24,1,4,12,4,12,9,power,1.5940836173968282,0.9394527503075923,0.14157284590625832,0,0.0015865086257651276
backfill_1,24,1,4,12,4,12,9,exponential,0.22184037171662727,0.9911158129613206,0.05423024902477092,0,0.0015865086257651276
backfill_1,24,1,8,20,8,20,13,power,3.1958129464741516,0.991320198407295,0.0843333305825631,0,0.00025047506663956887
backfill_1,24,1,8,20,8,20,13,exponential,0.2417274370603793,0.9983693137396733,0.036553549851438015,0,0.00025047506663956887
backfill_1,24,1,12,28,12,28,17,power,4.1143269909010955,0.9921669352509376,0.09364128540819568,0,4.631908600370889e-05
backfill_1,24,1,12,28,12,28,17,exponential,0.21584667652966566,0.998846971351251,0.035927049920233343,0,4.631908600370889e-05
backfill_1,32,-1,4,12,4,12,9,power,1.5752701550049963,0.9401630175700488,0.13902644888357849,0,0.001610749022357921
backfill_1,32,-1,4,12,4,12,9,exponential,0.21916958281985613,0.9913890715864475,0.05273969054644846,0,0.001610749022357921
backfill_1,32,-1,8,20,8,20,13,power,3.2255264500259484,0.9887717903110258,0.09693437404633726,0,0.0002423913995016104
backfill_1,32,-1,8,20,8,20,13,exponential,0.24440356856114226,0.9993048965802078,0.024118331798007413,0,0.0002423913995016104
backfill_1,32,-1,12,28,12,23,12,power,3.7834530242050803,0.9989092791421896,0.02536462502922514,0,0.000145089886503854
backfill_1,32,-1,12,28,12,23,12,exponential,0.22195165121408666,0.9952410423166838,0.052981903690628364,0,0.000145089886503854
backfill_1,32,1,4,12,4,12,9,power,1.5796527751598948,0.9400921583742575,0.13950101932110925,0,0.0016030570794316988
backfill_1,32,1,4,12,4,12,9,exponential,0.21978438751337132,0.9913598584913449,0.05297805040367557,0,0.0016030570794316988
backfill_1,32,1,8,20,8,20,13,power,3.212921280441739,0.9890831771192425,0.09519229308343491,0,0.00024248890832959287
backfill_1,32,1,8,20,8,20,13,exponential,0.24341202979395837,0.9993205041662324,0.02374909450503184,0,0.00024248890832959287
backfill_1,32,1,12,28,12,24,13,power,3.8415591613890636,0.998372972464941,0.03326577533581821,0,0.00011801653022395359
backfill_1,32,1,12,28,12,24,13,exponential,0.21998014818475375,0.996080914247948,0.051628865493298114,0,0.00011801653022395359
backfill_2,16,1,4,12,4,12,9,power,1.5492641376004062,0.9367659480712387,0.14081358345987585,0,0.0016115171744473748
backfill_2,16,1,4,12,4,12,9,exponential,0.21579572225231136,0.9900481437909238,0.05586259305436787,0,0.0016115171744473748
backfill_2,16,1,8,20,8,20,13,power,3.202664493213214,0.9898437551111758,0.0914881155830843,0,0.00024859217193933317
backfill_2,16,1,8,20,8,20,13,exponential,0.24248612588286042,0.9988623073298237,0.030620380305143288,0,0.00024859217193933317
backfill_2,16,1,12,28,12,28,17,power,4.119407150890004,0.9940758199095188,0.08145807975877412,0,4.8143916269794904e-05
backfill_2,16,1,12,28,12,28,17,exponential,0.21585930117325414,0.998418664795679,0.042085453532289215,0,4.8143916269794904e-05
backfill_2,24,-1,4,12,4,12,9,power,1.6432735918240284,0.9350310515896383,0.1515335866016531,0,0.0015092999826301842
backfill_2,24,-1,4,12,4,12,9,exponential,0.22901878339601583,0.9893249908397861,0.06142428531350579,0,0.0015092999826301842
backfill_2,24,-1,8,20,8,15,8,power,2.8463044908379103,0.9956225113543019,0.03868100655801582,0,0.0007621836324058981
backfill_2,24,-1,8,20,8,15,8,exponential,0.2549041514578329,0.998027746296715,0.025963703607685313,0,0.0007621836324058981
backfill_2,24,1,4,12,4,12,9,power,1.5940285539763575,0.9394505566753163,0.14157068541639276,0,0.0015865302991182571
backfill_2,24,1,4,12,4,12,9,exponential,0.22183287222114845,0.9911149587502303,0.05423104605455194,0,0.0015865302991182571
backfill_2,24,1,8,20,8,20,13,power,3.195791724166997,0.9913188093074737,0.08433957760697208,0,0.00025047686390064147
backfill_2,24,1,8,20,8,20,13,exponential,0.24172606645580266,0.9983698528448989,0.03654728995288313,0,0.00025047686390064147
backfill_2,24,1,12,28,12,28,17,power,4.114339281902803,0.9921675359801324,0.09363794597828681,0,4.6320042968700514e-05
backfill_2,24,1,12,28,12,28,17,exponential,0.21584725953206524,0.9988470040591588,0.03592663679562789,0,4.6320042968700514e-05
backfill_2,32,-1,4,12,4,12,9,power,1.5752026496259455,0.9401599853341374,0.13902423772998515,0,0.0016107748100147243
backfill_2,32,-1,4,12,4,12,9,exponential,0.21916041677736428,0.9913879194865288,0.05274104341899234,0,0.0016107748100147243
backfill_2,32,-1,8,20,8,20,13,power,3.2255132687726253,0.9887715316159932,0.09693510726091913,0,0.0002423996178199956
backfill_2,32,-1,8,20,8,20,13,exponential,0.24440254948962084,0.9993044690783451,0.024125651840201885,0,0.0002423996178199956
backfill_2,32,-1,12,28,12,23,12,power,3.7831857509270232,0.9989116166901223,0.025335611159448948,0,0.0001451207828118816
backfill_2,32,-1,12,28,12,23,12,exponential,0.22193474220395956,0.9952323420021102,0.053026504020500236,0,0.0001451207828118816
