distance,frustrated_sc_vminus02_t014,square_v0_t014,cubic_unfrustrated_v0_t014
1,-1.214311147966189,-1.2931678751487965,-1.3972903322219081
2,-1.5621273294529563,-1.7054155486472584,-1.8775293128415154
3,-1.6546094364216306,-1.882304726201814,-2.3493928467952414
4,-1.682729650248321,-1.9853333875701984,-2.7868244273314455
5,-1.70401627342921,-2.0794870113286006,-3.172778845237936
6,-1.7252815483490516,-2.192849575987223,-3.631385964949053
7,-1.7421867479990167,-2.323562973103675,-4.1508925957874725
8,-1.7542145715455366,-2.469371432831632,-4.710881031909381
9,-1.7621955278520278,-2.6298382992018476,-5.3156026565123025
10,-1.767178564693866,-2.803457346590826,-5.948490618704419
11,-1.770188496121128,-2.986364535562258,-6.5795718884942795
12,-1.771987028359206,-3.171638514991126,-7.134727880597788
13,-1.773069068590649,-3.3513996814149434,-7.53940020088128
14,-1.7737354927752527,-3.5203256075708955,-7.871077939707383
15,-1.7741572014713385,-3.675343142425172,-8.232136844486572
16,-1.7744307575204348,-3.8156308350756736,-8.64998338061483
17,-1.7746116181456553,-3.944289880771636,-9.108330159614622
18,-1.7747320498445645,-4.0667084900925365,-9.594830911625671
19,-1.774815153149666,-4.188133955110313,-10.114661877933317
20,-1.7748776929800063,-4.312734223427544,-10.511659481225157
21,-1.7749275959437625,-4.443861467162541,-10.681011002219115
22,-1.7749655788315564,-4.584463652528682,-10.67599005459274
23,-1.7749988133779038,-4.736928204683756,-10.682226211328524
24,-1.7750343426800335,-4.902213015809709,-10.7473031443893
