cut,coordinate,family,sampling,accepted,iterations,spin_rms,central_spin_rms,pair_rms,central_pair_rms,spin_range_last10,pair_range_last10,source,source_sha256
V,-0.2,stripe,coarse,False,40,4.5709685143181e-06,2.4255161044840686e-06,0.033567622234926084,0.03401826243901048,4.1292942093074176e-05,1.4294843066198215e-08,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__stripe_weak_other_t014_vm02_chi200_raw/square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T133344_530806_e88a894f07dc/state.h5,d9f752489b0ee8e89ef64db018f6a0c28e401c9a85f0e1d6a3218907d604e97d
V,-0.2,pairing,coarse,False,40,1.162002618948034e-06,9.170717944473019e-07,0.03356766992058882,0.034018334340898244,1.3523113249573443e-06,9.861678994249612e-09,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__pairing_weak_other_t014_vm02_chi200_raw/square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005/20260915T134211_1900090_e88a894f07dc/state.h5,ea59e1b2ae21a1007739603693f9bf312301bbf1c8e7bcc326fa969184785423
V,-0.15,stripe,fine,False,60,3.2441614691660253e-06,1.2698622508257474e-06,0.03332880047238446,0.033748216680936076,1.150005430866611e-05,1.4668003871926016e-07,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0150_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T020947_1069548_d3a3e5a84b77/state.h5,7bfd8c0a8f77f52bceb94d77aeff131f907f08deaa8d8840ed7161fed6cd5110
V,-0.15,pairing,fine,False,60,2.0318243651567866e-06,1.1567679682769073e-06,0.033328725565056526,0.033748256552161855,5.269057712177612e-07,3.674093495414921e-08,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0150_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T030849_859814_d3a3e5a84b77/state.h5,6adcf61ab1122afb28c242ed92a9157d8ef18024810c2b7df1263484f4cc1d89
V,-0.1,stripe,fine,False,60,0.00043806087924376774,0.00015007675316377504,0.03313871229720061,0.033520687439843246,0.0005392443877003242,1.719788243134679e-07,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0100_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T000219_1019825_36eefa518506/state.h5,8e3035097e70aa1aab232ff05afee91c92a126139b13dac22c77f4c48cb79c65
V,-0.1,pairing,fine,False,60,2.5950846987312057e-05,8.069104817263955e-06,0.03313884174789464,0.03352067922957351,3.238222505362048e-05,9.617016460961025e-09,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0100_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T001753_769595_36eefa518506/state.h5,b5d7c6341a28c030042462701ab5f5e8b410587003a0842f86b8323cf4af9109
V,-0.05,stripe,fine,False,60,0.1446948290335438,0.15632933181978717,3.6662317733226816e-05,4.107127398846208e-05,3.0446637405950883e-05,2.279736945861224e-06,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0050_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T220219_1133876_753b09e9a571/state.h5,29d170350d6e0f7cd81d9ed207bade3f7f40a079231214f98fa2532052f4accf
V,-0.05,pairing,fine,False,60,0.00560576115344279,0.0017029965077598021,0.032990916130946554,0.0333433822381991,8.277945724084225e-05,3.612519423878968e-07,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0050_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T220746_1165369_753b09e9a571/state.h5,ef0cf3d9109b0e344fb0af2d1fe2054a4c4f3dcc4cff9734aa8ca1faff0a93b0
V,0.0,stripe,coarse,False,100,0.17689778488661467,0.18824918749355085,1.0405644587228863e-09,1.2792390540162542e-09,1.85660944153343e-05,2.378909109300803e-08,output/phase1_gpu/20260915_square_t014_v000_two_basin_finish20/results/square__stripe_weak_other_t014_v000_chi200_raw_finish20/square__stripe_weak_other_finish20__same_model_two_basin_continuation20__none__stripe_eps005_continued/20260915T213827_1956488_879c440a5602/state.h5,cff5b176b4543e717441ab98736c6310e2b752219c99d9edead2d149bf38f2ec
V,0.0,pairing,coarse,False,82,0.17510563242072907,0.18759998323604574,4.4214764201916826e-08,4.872090204157366e-08,0.0003874486608827221,9.895317180189817e-06,output/phase1_gpu/20260915_square_t014_v000_two_basin_finish20/results/square__pairing_weak_other_t014_v000_chi200_raw_finish20/square__pairing_weak_other_finish20__same_model_two_basin_continuation20__none__pairing_eps005_continued/20260915T213815_939164_879c440a5602/state.h5,d3beb7017fda46d9026128e821dd6650e08f3bebf38a3dd372e0f19b6ff48991
t0,1.2,stripe,coarse,False,40,0.17617171716794353,0.1842739121939198,1.4020532527984755e-07,2.6382352820868342e-08,0.00022713511694325006,1.5755148658438221e-07,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__stripe_weak_other_t012_vm04_chi200_raw/square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T064933_273999_9bc2a45ffc54/state.h5,40a1fe9803d61578acdfa15419469f37b06b79a3b5558ba9b48ad472c36ca4cd
t0,1.2,pairing,coarse,False,40,0.17519455488187138,0.18404858627602497,9.851847963933475e-07,1.1087994273396306e-06,0.02097433807273194,0.004142785469736577,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__pairing_weak_other_t012_vm04_chi200_raw/square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005/20260915T070450_1576258_9bc2a45ffc54/state.h5,52067a103397353854e7280480a542db2b11a6521165ad627a27dadf0ba66372
t0,1.25,stripe,fine,False,60,0.14196955369927605,0.15164425772758747,1.8720438887610425e-07,1.7278347971390773e-07,1.1291106865096712e-05,2.7468334009290344e-07,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01250_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T043415_865277_e1b89e251272/state.h5,2bc813ff5e6d6ab47bdf4c4f8e47901dbb29473dc9ac04b56931941896b226fc
t0,1.25,pairing,fine,False,60,9.60499693795009e-05,8.519040596228395e-05,0.02844548660980337,0.02915782132117409,0.00010435889358693214,6.279492217910188e-07,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01250_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T044602_976793_e1b89e251272/state.h5,464e3840f3f1f12747e8fe35bd4c3e4c08ded7e7109a7de56bb1ff760438443a
t0,1.3,stripe,fine,False,60,1.0472166448071164e-06,8.669070810360526e-07,0.03106098190760962,0.031693718321357624,5.648082192459413e-06,3.2150849542042503e-07,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01300_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T043414_1093607_c5e3add0ce6d/state.h5,fdc24facc2aed2b8157355bd3a87ef7c65cf2010b46c6803095c026f8aef9b9b
t0,1.3,pairing,fine,False,60,3.6999084240201987e-07,9.736471984917583e-08,0.031060672646016106,0.03169357342740641,2.7956628381061495e-07,1.397255800110464e-06,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01300_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T054853_879910_c5e3add0ce6d/state.h5,736e38683aee25faa4fe841d381ccee47e77046ce07034c5372a270162151718
