t0,V,family,job_id,phase_observation,status,accepted,iterations,spin_rms_final,pair_rms_final,rung_pair_mean,charge_std_final,global_relative,energy_final,energy_span_last10,density_error,spin_fractional_change_last10,pair_fractional_change_last10,spin_log_gain_last20,ep_mode,ep_signed,coupling,final_dmrg_sweep_delta,final_dmrg_discarded_weight,solver_node_hours,allocation_node_hours,failed_gates
1.4,-0.05,stripe,58387972,S,maximum_iterations,False,60,0.1446948290335438,3.6662317733226816e-05,-5.3073053498080814e-05,0.0424816850647972,0.0008902497615070218,-0.7241289865874826,7.315190020396045e-08,5.953108339618041e-09,0.000210463950432338,-0.05854177353116008,1.0000264263341772,linear_V,-0.16160336393289043,0.06187990000104661,3.914101398549974e-08,8.052436905229204e-06,0.7608251654108366,,global_field; global_slow; charge_modulation_steps; charge_modulation_span; exchange_charge_steps; exchange_charge_span; exchange_spin_steps; exchange_spin_span; pairing_span; spin_steps; spin_span
1.4,-0.05,pairing,58387973,P+SDW,maximum_iterations,False,60,0.00560576115344279,0.032990916130946554,-0.04872652992338923,0.0038105173467533797,0.0001309481634492049,-0.7241885062322082,1.460824017307516e-09,6.42661924366017e-06,0.014988182433732788,-1.0949922859770922e-05,1.0014498365000297,linear_V,-0.16160336393289043,0.06187990000104661,4.436799372342648e-08,7.549720748312863e-06,0.8207417195207543,,global_field; global_slow; charge_modulation_span; exchange_spin_span; pairing_span; spin_steps; spin_span
1.4,-0.1,stripe,58387974,D*,maximum_iterations,False,60,0.00043806087924376774,0.03313871229720061,-0.049150824957767666,0.0037698894791709757,0.0004824831573470367,-0.7874991131356462,6.334933688734168e-09,4.5845449404557925e-06,-0.5517665830109277,3.5871614909588345e-06,0.9131573490717669,linear_V,-0.17666899694661709,0.056603026976044,8.250862038039486e-08,7.216045508813657e-06,1.208203340570132,,global_field; global_slow; charge_modulation_span; exchange_spin_steps; exchange_spin_span; pairing_steps; pairing_span; spin_steps; spin_span
1.4,-0.1,pairing,58387975,D,maximum_iterations,False,60,2.5950846987312057e-05,0.03313884174789464,-0.04915104758358716,0.0037693312553644027,3.006910554068751e-05,-0.7874991131906488,7.467502172175955e-10,3.0253469981422754e-06,-0.5551263446385568,1.4805654613425645e-07,0.9142071182847034,linear_V,-0.17666899694661709,0.056603026976044,8.548602181690512e-08,7.215901364624207e-06,0.8320495262576474,,global_slow; exchange_spin_span; pairing_span; spin_steps; spin_span
1.4,-0.15,stripe,58387976,D,maximum_iterations,False,60,3.2441614691660253e-06,0.03332880047238446,-0.04961969095973041,0.0037494171027555178,9.355409960613159e-06,-0.8508063205371872,1.322608467191344e-09,2.1575475761537177e-06,-0.7799705648608584,-1.924763160521259e-06,0.8413796416026778,linear_V,-0.19173462996034374,0.05215541919614777,8.234923143390915e-08,6.902023558342249e-06,1.2546626252598232,,exchange_spin_span; spin_steps; spin_span
1.4,-0.15,pairing,58387977,D,maximum_iterations,False,60,2.0318243651567866e-06,0.033328725565056526,-0.04961957438637857,0.003749740803750609,2.232480652836678e-06,-0.8508063193202502,6.868501323253895e-10,5.4542401166646215e-06,0.35012244073522947,4.1110728998816626e-07,0.9653124091713593,linear_V,-0.19173462996034374,0.05215541919614777,6.041642564014182e-08,6.901273047356149e-06,0.8774149930642711,,spin_span
1.25,-0.4,stripe,58387978,S,maximum_iterations,False,60,0.14196955369927605,1.8720438887610425e-07,-2.7558980842523234e-07,0.03778190679769467,0.0005654284311002204,-1.1083805765537325,1.3506585494482692e-07,1.1149302592272647e-09,6.662867147877449e-05,-0.48386229187732843,1.0000026981829846,linear_t0,-0.2508405031610721,0.03986597010443208,7.256327592131129e-07,1.8568734363462092e-05,1.0756403354141448,,global_field; global_slow; inner_dmrg; energy; charge_modulation_steps; charge_modulation_span; exchange_charge_steps; exchange_charge_span; exchange_spin_steps; exchange_spin_span; pairing_steps; pairing_span; spin_steps; spin_span
1.25,-0.4,pairing,58387979,D,maximum_iterations,False,60,9.60499693795009e-05,0.02844548660980337,-0.04671473849098423,0.004427760211149791,5.10454953539128e-05,-1.1084124678784717,2.2383511266710343e-08,7.86869944091606e-07,-0.5207299320110981,5.854550999551122e-07,0.9217931859981696,linear_t0,-0.2508405031610721,0.03986597010443208,2.63887898199755e-08,1.6012246625365202e-05,1.0832705111304919,,global_field; global_slow; exchange_spin_span; pairing_span; spin_steps; spin_span
1.3,-0.4,stripe,58387980,D,maximum_iterations,False,60,1.0472166448071164e-06,0.03106098190760962,-0.04952904170020657,0.003948260607153542,9.04449441712837e-06,-1.126855289681961,2.4553921118553035e-08,9.040089025025289e-06,-0.8435892601270863,1.0102739482986678e-05,0.8045513274092456,linear_t0,-0.25043512171026805,0.03993050148760342,4.969564315615571e-08,1.1139697132087556e-05,1.236493386692471,,exchange_spin_span; spin_span
1.3,-0.4,pairing,58387981,D,maximum_iterations,False,60,3.6999084240201987e-07,0.031060672646016106,-0.04952852242056225,0.003948613267261837,2.128563094783041e-05,-1.1268553074455672,2.3082627365056396e-08,8.386980505314945e-06,-0.27753743636292016,-8.289602342448354e-06,0.9260262591014786,linear_t0,-0.25043512171026805,0.03993050148760342,5.5308390756181325e-08,1.1140842775751e-05,1.087694642196099,,charge_modulation_steps; charge_modulation_span; exchange_spin_span; pairing_span; spin_steps; spin_span
1.35,-0.4,stripe,58387982,D,maximum_iterations,False,60,6.970796387781216e-07,0.0333828830244528,-0.05177917590622346,0.0035259395568148734,1.841649327856127e-05,-1.1465173651278324,3.3856937253773367e-09,4.238042619952864e-06,0.05375689284392893,4.826975439353731e-07,1.0135710403381333,linear_t0,-0.250029740259464,0.03999524212448757,6.50925642275979e-08,7.632253286680616e-06,1.5411468403703636,,exchange_spin_steps; exchange_spin_span; pairing_span; spin_steps; spin_span
1.35,-0.4,pairing,58387983,D,maximum_iterations,False,60,6.56966447413927e-07,0.03338289178113013,-0.0517791998101912,0.0035257966900406694,2.3426304427460714e-05,-1.1465173667513793,5.305271555400282e-09,2.683158322858148e-06,0.27463099485260045,7.366963477029032e-07,0.9844490566635311,linear_t0,-0.250029740259464,0.03999524212448757,5.5998583547989256e-08,7.632090342303258e-06,1.2523423688113688,,exchange_spin_steps; exchange_spin_span; pairing_span; spin_steps; spin_span
