t0,V,family,job_id,campaign,source,compact_sha256,full_sha256,config_sha256
1.4,-0.05,stripe,58387972,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0050_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T220219_1133876_753b09e9a571/state.h5,29d170350d6e0f7cd81d9ed207bade3f7f40a079231214f98fa2532052f4accf,3c24a948b1a52ff4ba9ff705723a7daff3e4973e632c8aeb3b9ea584bbc6af09,9fbbb0a52c051225193600638759e35891a54b9270a31ca24542d6d8fe7705a1
1.4,-0.05,pairing,58387973,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0050_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T220746_1165369_753b09e9a571/state.h5,ef0cf3d9109b0e344fb0af2d1fe2054a4c4f3dcc4cff9734aa8ca1faff0a93b0,9ae557f5224b3a6a7ad1c5f0ce5d69bcc62ffbdab6952fab729f50288e7ff9be,10f403bad0a7d091fd7f3aa7e3dc2f9b1008dc30765188859f0c1fc92f46c0fb
1.4,-0.1,stripe,58387974,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0100_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T000219_1019825_36eefa518506/state.h5,8e3035097e70aa1aab232ff05afee91c92a126139b13dac22c77f4c48cb79c65,9ac513efba7fbc50a90f5f170e5afb04a2dd2941cf8830559734187404cbafb2,147aa76737bbe5f5ae46d978a3b2f8132a9d0ee5e5ca4b730cbf37ed43b70beb
1.4,-0.1,pairing,58387975,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0100_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T001753_769595_36eefa518506/state.h5,b5d7c6341a28c030042462701ab5f5e8b410587003a0842f86b8323cf4af9109,af04064898ba361bbaf10d6b5aa036bad04c9664a65ac2d9b859eee1579b4eb6,75ce2a8a67a106d48b0320b0c1f76beb4430a51362ad11ef6f2e9eea30c90326
1.4,-0.15,stripe,58387976,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0150_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T020947_1069548_d3a3e5a84b77/state.h5,7bfd8c0a8f77f52bceb94d77aeff131f907f08deaa8d8840ed7161fed6cd5110,530ac249df828be7f5a01e2e9bcb3771f4d7a2558606ad52dd96dca40e419def,4e1ab334bb7ca90e075b3ed4221a2a6af8e1c5378b41a59a1e01ec8a181503f0
1.4,-0.15,pairing,58387977,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0150_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T030849_859814_d3a3e5a84b77/state.h5,6adcf61ab1122afb28c242ed92a9157d8ef18024810c2b7df1263484f4cc1d89,2c8a49bd53bd872df4eb5dc9f2764e4ce919ef7b93da31e2d5b5ffe272dc881a,a7cf88e56218ae965ee20dac1b81efef651ee05861f310391a5e6d3b29310b4f
1.25,-0.4,stripe,58387978,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01250_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T043415_865277_e1b89e251272/state.h5,2bc813ff5e6d6ab47bdf4c4f8e47901dbb29473dc9ac04b56931941896b226fc,bc1acfff6fdf0a8f0348406a5b3f2ed27693130e0d4cc25e8a588ea276e78e98,36559d6e9e3ed74fea662eec859e2cd755dbe9b8bd1bee868577ebafa14bfeb3
1.25,-0.4,pairing,58387979,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01250_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T044602_976793_e1b89e251272/state.h5,464e3840f3f1f12747e8fe35bd4c3e4c08ded7e7109a7de56bb1ff760438443a,49dba968fbd46d6315cab8a6efa4c98f08f82b783341320962f7d9d322e22c23,613b9de768974bc712baa88107890ed65dd5980dcebf50913b26de163bf34ade
1.3,-0.4,stripe,58387980,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01300_vm0400_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T043414_1093607_c5e3add0ce6d/state.h5,fdc24facc2aed2b8157355bd3a87ef7c65cf2010b46c6803095c026f8aef9b9b,e41007d19cd863a691b8ddfaa061e9563820e8b971d5cf5cf7ed402de5b1a102,4df878903be503960d14dc419bbaf86af86ee5ac3e585fd1e4d7f16887f4874f
1.3,-0.4,pairing,58387981,20260915_square_two_basin_fine_cuts_95_5_60,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01300_vm0400_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T054853_879910_c5e3add0ce6d/state.h5,736e38683aee25faa4fe841d381ccee47e77046ce07034c5372a270162151718,9476638263639bce26bffbc93ec95b9b74bba043d0bc339059e478f51912914a,147c5833935752db9f9cd6bcecf839af0a71b4290deb52c2201f221efaa7116f
