t0,V,family,rung,charge,spin_odd,rung_pair,leg_pair_right
1.4,-0.05,stripe,1,0.998038463859324,-0.08579521123479027,-6.102470823496815e-06,7.691058324496984e-06
1.4,-0.05,stripe,2,0.994372710337444,0.12666356305150342,-1.5794036537248784e-05,1.3685747880041191e-05
1.4,-0.05,stripe,3,0.9863926438710487,-0.14360666925997712,-2.4139117557080665e-05,1.89823305030592e-05
1.4,-0.05,stripe,4,0.9730754088952467,0.14927500929150994,-3.1826567777453074e-05,2.3955058931356445e-05
1.4,-0.05,stripe,5,0.9538302873607679,-0.14267935996874956,-3.788688471396766e-05,2.727758954980617e-05
1.4,-0.05,stripe,6,0.9298318370564186,0.12473723211411886,-4.159310839009187e-05,2.905544795627541e-05
1.4,-0.05,stripe,7,0.9042847512815088,-0.09706693161246642,-4.3391144936118817e-05,2.9753485787406257e-05
1.4,-0.05,stripe,8,0.8823833263425109,0.06172490449051947,-4.385040231498625e-05,2.9719444934071003e-05
1.4,-0.05,stripe,9,0.8699527267235077,-0.02104930135177911,-4.347507418050469e-05,2.9272531588352303e-05
1.4,-0.05,stripe,10,0.8709280993687802,-0.022540598610378507,-4.273619498452758e-05,2.872368514920833e-05
1.4,-0.05,stripe,11,0.8851889542041101,0.06647380009560694,-4.20781348266755e-05,2.8365139676540757e-05
1.4,-0.05,stripe,12,0.9084530336052874,-0.10793361052256054,-4.190385190631152e-05,2.848694918082619e-05
1.4,-0.05,stripe,13,0.9343655910664291,0.14411526658215754,-4.2442446022293424e-05,2.9021479047974356e-05
1.4,-0.05,stripe,14,0.9573118895472131,-0.17287820490092717,-4.383199567010876e-05,3.041959811238274e-05
1.4,-0.05,stripe,15,0.9741235468001792,0.19324743004257805,-4.61514785380877e-05,3.209282623228267e-05
1.4,-0.05,stripe,16,0.9839896138687052,-0.2052746927157032,-4.867473319957139e-05,3.380921167887434e-05
1.4,-0.05,stripe,17,0.9872205278821002,0.20939723796947196,-5.128659978664551e-05,3.561246625421616e-05
1.4,-0.05,stripe,18,0.9840456777498736,-0.20586047381206077,-5.398611599755735e-05,3.745276273951927e-05
1.4,-0.05,stripe,19,0.9741496129830407,0.1944746076177543,-5.670977934361772e-05,3.9313613463112206e-05
1.4,-0.05,stripe,20,0.957108836639438,-0.17478809816916221,-5.932876838070482e-05,4.1042943493052245e-05
1.4,-0.05,stripe,21,0.9336403725213324,0.14663428722658023,-6.17572004500544e-05,4.260356013330214e-05
1.4,-0.05,stripe,22,0.9069470548819137,-0.11073559944202181,-6.372104376834767e-05,4.371985111572692e-05
1.4,-0.05,stripe,23,0.8829614769476211,0.0688897307421462,-6.507264638105632e-05,4.4495791615384626e-05
1.4,-0.05,stripe,24,0.8685700480514075,-0.023476799070278498,-6.5731131012227e-05,4.4664088325706197e-05
1.4,-0.05,stripe,25,0.868479605699368,-0.0231100923734803,-6.5635268366726e-05,4.438122996914308e-05
1.4,-0.05,stripe,26,0.8827098889223801,0.06859057846264033,-6.486395144737053e-05,4.358822378238692e-05
1.4,-0.05,stripe,27,0.9065965573175597,-0.11058363389685384,-6.366471588513808e-05,4.2697203574758506e-05
1.4,-0.05,stripe,28,0.9332758304009093,0.14671438413640614,-6.236845901012243e-05,4.1801023490066475e-05
1.4,-0.05,stripe,29,0.9568374460925307,-0.1752154181711549,-6.119934645752714e-05,4.1080173458834766e-05
1.4,-0.05,stripe,30,0.9740989708711222,0.1953989696822611,-6.0328732522201516e-05,4.058942269156436e-05
1.4,-0.05,stripe,31,0.9843988594926941,-0.20750009341425388,-5.979192459133588e-05,4.034564373304414e-05
1.4,-0.05,stripe,32,0.9882438934862853,0.21205281747641594,-5.9546587945760087e-05,4.024838241927167e-05
1.4,-0.05,stripe,33,0.986035090994865,-0.20935273245766653,-5.9490560333425785e-05,4.027578656741915e-05
1.4,-0.05,stripe,34,0.9775259726295228,0.19921867469841095,-5.966718907629492e-05,4.049007386853135e-05
1.4,-0.05,stripe,35,0.9621387197658208,-0.18113348225741774,-6.0100544784774533e-05,4.088556711862304e-05
1.4,-0.05,stripe,36,0.9400940638617381,0.15473205867856926,-6.087182314570628e-05,4.157166960974661e-05
1.4,-0.05,stripe,37,0.9138285099204642,-0.12043898832327608,-6.191767733842719e-05,4.236238708025501e-05
1.4,-0.05,stripe,38,0.888618621016562,0.0797932036811508,-6.305816303497172e-05,4.312373086757036e-05
1.4,-0.05,stripe,39,0.8713154862510234,-0.03506267775867909,-6.394878555611211e-05,4.359652409619781e-05
1.4,-0.05,stripe,40,0.8674221576219387,-0.011355283844309245,-6.424912058630445e-05,4.356902748229356e-05
1.4,-0.05,stripe,41,0.8782369557493567,0.05721729329078019,-6.383445064220832e-05,4.300919091471974e-05
1.4,-0.05,stripe,42,0.9001515564189643,-0.1002307535338815,-6.266871228010162e-05,4.195181641410815e-05
1.4,-0.05,stripe,43,0.9266106373037112,0.13802678153744832,-6.087432720502273e-05,4.0538436975632576e-05
1.4,-0.05,stripe,44,0.9512829119364157,-0.16864958391280346,-5.866845725822779e-05,3.8926828942556015e-05
1.4,-0.05,stripe,45,0.9703032730494298,0.1911537762264247,-5.6243244180269995e-05,3.7230908530374794e-05
1.4,-0.05,stripe,46,0.9825343286729397,-0.20561510622306925,-5.371555942091124e-05,3.549052652059265e-05
1.4,-0.05,stripe,47,0.9884116918639823,0.21259016084665355,-5.1140370865318587e-05,3.374273097078954e-05
1.4,-0.05,stripe,48,0.9885754654131189,-0.21251884677900476,-4.855022100509759e-05,3.198623390084684e-05
1.4,-0.05,stripe,49,0.9830803140242578,0.20539097355289787,-4.6061391740643266e-05,3.0387604138375244e-05
1.4,-0.05,stripe,50,0.9713929620737913,-0.1907561361891517,-4.3885836373220034e-05,2.905772527690068e-05
1.4,-0.05,stripe,51,0.9531458301742642,0.16807783302663876,-4.2201034943737165e-05,2.8130304459609057e-05
1.4,-0.05,stripe,52,0.929419329970713,-0.13738913887580992,-4.113407375250736e-05,2.7644650867152395e-05
1.4,-0.05,stripe,53,0.903804440003287,0.09985492788821146,-4.0699480125859905e-05,2.7567252644330717e-05
1.4,-0.05,stripe,54,0.8821354028134843,-0.05773841540459607,-4.0815177944579856e-05,2.7827528286402142e-05
1.4,-0.05,stripe,55,0.8704640623863061,0.01379366021130986,-4.132668522974196e-05,2.8265080436708815e-05
1.4,-0.05,stripe,56,0.8722841398630397,0.029342197900829925,-4.190986749424248e-05,2.8614294782627034e-05
1.4,-0.05,stripe,57,0.8868146384929402,-0.06926517751899702,-4.2183412075139825e-05,2.8600591301191706e-05
1.4,-0.05,stripe,58,0.9095840162848583,0.10366441007623486,-4.168721457580147e-05,2.7902065526734597e-05
1.4,-0.05,stripe,59,0.9347870792535401,-0.13032284084599008,-3.992067161204635e-05,2.6172078835268472e-05
1.4,-0.05,stripe,60,0.9576706253989055,0.14731826366725925,-3.633568566577138e-05,2.297108614539856e-05
1.4,-0.05,stripe,61,0.9755756959997599,-0.15310222246211608,-3.0504871051862435e-05,1.8192625228994904e-05
1.4,-0.05,stripe,62,0.9877504034398624,0.14674944269795986,-2.3127217485921427e-05,1.3113439863399757e-05
1.4,-0.05,stripe,63,0.9949759764701032,-0.129215079274512,-1.5131332981038316e-05,7.369919611102945e-06
1.4,-0.05,stripe,64,0.998221715754045,0.08749347492271661,-5.8470280879556065e-06,
1.4,-0.05,pairing,1,0.9967331737759938,-0.01620031995295164,-0.007244931089570063,0.009143610715687747
1.4,-0.05,pairing,2,0.9905684067941333,0.02378681028722844,-0.018900552474165198,0.016432693595479185
1.4,-0.05,pairing,3,0.9796746287005795,-0.026348386994947987,-0.029176714052339292,0.023017475137627107
1.4,-0.05,pairing,4,0.9650731408997192,0.026136863904372865,-0.038670715899471866,0.029099787518057477
1.4,-0.05,pairing,5,0.94932638727388,-0.023289707458970906,-0.045837615031000895,0.032828407773646366
1.4,-0.05,pairing,6,0.9356765981240935,0.01863637047381267,-0.04962769661943854,0.03432702001259941
1.4,-0.05,pairing,7,0.9262164292043444,-0.0131674294131674,-0.05073694017827843,0.034367087208399955
1.4,-0.05,pairing,8,0.9213718499401052,0.007724483217944542,-0.05018816707550677,0.033605856210369905
1.4,-0.05,pairing,9,0.9204359678372604,-0.0028877866196595076,-0.048873151365612474,0.03259527809636538
