cut,coordinate,t0,V,family,sampling,phase_observation,target_corrected_energy_per_site,canonical_energy_per_site,density_correction_per_site,target_corrected_energy_total,canonical_energy_total,sites,final10_energy_range_per_site,segment_iterations,cumulative_iterations,accepted,ep_signed,coupling,job_id,source,source_sha256,config_sha256
V,-0.2,1.4,-0.2,stripe,coarse,D,-0.9141178469611447,-0.9141217389662903,3.892005145242575e-06,-117.00708441102653,-117.00758258768516,128,1.2799986626177429e-09,40,40,False,-0.2068002629740704,0.048355837928764384,58172809,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__stripe_weak_other_t014_vm02_chi200_raw/square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005/20260915T133344_530806_e88a894f07dc/state.h5,d9f752489b0ee8e89ef64db018f6a0c28e401c9a85f0e1d6a3218907d604e97d,ffcc3cfd547a52e42b054b1dcaed64f25d344224d7c4c158bc386dc4baef6ae1
V,-0.2,1.4,-0.2,pairing,coarse,D,-0.9141178448375991,-0.9141252165104601,7.371672861045752e-06,-117.00708413921268,-117.00802771333889,128,3.036280116219814e-10,40,40,False,-0.2068002629740704,0.048355837928764384,58172810,output/phase1_gpu/20260910_square_two_basin_95_5_40_remainder/results/square__pairing_weak_other_t014_vm02_chi200_raw/square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005/20260915T134211_1900090_e88a894f07dc/state.h5,ea59e1b2ae21a1007739603693f9bf312301bbf1c8e7bcc326fa969184785423,de59e8914d811eaeaebfe6ab4cd83fba4843ecf9df8ae06d244e236bc982847e
V,-0.15,1.4,-0.15,stripe,fine,D,-0.8508063205371872,-0.850808996079657,2.6755424700651234e-06,-108.90320902875996,-108.9035514981961,128,1.322608467191344e-09,60,60,False,-0.19173462996034374,0.05215541919614777,58387976,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0150_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T020947_1069548_d3a3e5a84b77/state.h5,7bfd8c0a8f77f52bceb94d77aeff131f907f08deaa8d8840ed7161fed6cd5110,4e1ab334bb7ca90e075b3ed4221a2a6af8e1c5378b41a59a1e01ec8a181503f0
V,-0.15,1.4,-0.15,pairing,fine,D,-0.8508063193202502,-0.8508130830281143,6.763707864120163e-06,-108.90320887299202,-108.90407462759863,128,6.868501323253895e-10,60,60,False,-0.19173462996034374,0.05215541919614777,58387977,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0150_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T030849_859814_d3a3e5a84b77/state.h5,6adcf61ab1122afb28c242ed92a9157d8ef18024810c2b7df1263484f4cc1d89,a7cf88e56218ae965ee20dac1b81efef651ee05861f310391a5e6d3b29310b4f
V,-0.1,1.4,-0.1,stripe,fine,D*,-0.7874991131356462,-0.7875054349119076,6.321776261349924e-06,-100.79988648136272,-100.80069566872417,128,6.334933688734168e-09,60,60,False,-0.17666899694661709,0.056603026976044,58387974,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0100_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260918T000219_1019825_36eefa518506/state.h5,8e3035097e70aa1aab232ff05afee91c92a126139b13dac22c77f4c48cb79c65,147aa76737bbe5f5ae46d978a3b2f8132a9d0ee5e5ca4b730cbf37ed43b70beb
V,-0.1,1.4,-0.1,pairing,fine,D,-0.7874991131906488,-0.7875032849435225,4.171752873594052e-06,-100.79988648840305,-100.80042047277088,128,7.467502172175955e-10,60,60,False,-0.17666899694661709,0.056603026976044,58387975,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0100_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260918T001753_769595_36eefa518506/state.h5,b5d7c6341a28c030042462701ab5f5e8b410587003a0842f86b8323cf4af9109,75ce2a8a67a106d48b0320b0c1f76beb4430a51362ad11ef6f2e9eea30c90326
V,-0.05,1.4,-0.05,stripe,fine,S,-0.7241289865874826,-0.7241289955320279,8.944545280276106e-09,-92.68851028319777,-92.68851142809957,128,7.315190020396045e-08,60,60,False,-0.16160336393289043,0.06187990000104661,58387972,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__stripe_weak_other_t01400_vm0050_chi200_raw/square__stripe_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__stripe_eps005/20260917T220219_1133876_753b09e9a571/state.h5,29d170350d6e0f7cd81d9ed207bade3f7f40a079231214f98fa2532052f4accf,9fbbb0a52c051225193600638759e35891a54b9270a31ca24542d6d8fe7705a1
V,-0.05,1.4,-0.05,pairing,fine,P+SDW,-0.7241885062322082,-0.7241787522832528,-9.753948955078337e-06,-92.69612879772265,-92.69488029225636,128,1.460824017307516e-09,60,60,False,-0.16160336393289043,0.06187990000104661,58387973,output/phase1_gpu/20260915_square_two_basin_fine_cuts_95_5_60/results/square__pairing_weak_other_t01400_vm0050_chi200_raw/square__pairing_weak_other__square_fine_cuts_two_reference_correlations_eps005_raw__none__pairing_eps005/20260917T220746_1165369_753b09e9a571/state.h5,ef0cf3d9109b0e344fb0af2d1fe2054a4c4f3dcc4cff9734aa8ca1faff0a93b0,10f403bad0a7d091fd7f3aa7e3dc2f9b1008dc30765188859f0c1fc92f46c0fb
V,0.0,1.4,0.0,stripe,coarse,S,-0.6611220745702532,-0.6611220748304485,2.6019543852839885e-10,-84.62362554499241,-84.6236255782974,128,3.458069530726249e-08,20,100,False,-0.14653773091916378,0.06824181005993885,58383124,output/phase1_gpu/20260915_square_t014_v000_two_basin_finish20/results/square__stripe_weak_other_t014_v000_chi200_raw_finish20/square__stripe_weak_other_finish20__same_model_two_basin_continuation20__none__stripe_eps005_continued/20260915T213827_1956488_879c440a5602/state.h5,cff5b176b4543e717441ab98736c6310e2b752219c99d9edead2d149bf38f2ec,7de19f9a90e107992c95a757061b03ad74f5c7d9a690bb99f0a6845a08b7e5ec
V,0.0,1.4,0.0,pairing,coarse,S,-0.6611201413002853,-0.6611201412588592,-4.142593754389733e-11,-84.62337808643652,-84.62337808113398,128,1.830659288271086e-06,20,82,False,-0.14653773091916378,0.06824181005993885,58383125,output/phase1_gpu/20260915_square_t014_v000_two_basin_finish20/results/square__pairing_weak_other_t014_v000_chi200_raw_finish20/square__pairing_weak_other_finish20__same_model_two_basin_continuation20__none__pairing_eps005_continued/20260915T213815_939164_879c440a5602/state.h5,d3beb7017fda46d9026128e821dd6650e08f3bebf38a3dd372e0f19b6ff48991,55d25c703c9bf63718eb394e2051bbc003a5172efb7f0989a3765b438d2063b9
