cut,family,x_left,x_right,secant_slope,final10_drift_scale
V,stripe,-0.2,-0.15,1.2662305284791504,5.205214259618172e-08
V,stripe,-0.15,-0.1,1.266144148030819,1.5315084311851026e-07
V,stripe,-0.1,-0.05,1.267402530963273,1.5897366778538924e-06
V,stripe,-0.05,0.0,1.2601382403445882,2.154651910224459e-06
V,pairing,-0.2,-0.15,1.2662305103469769,1.980956287894741e-08
V,pairing,-0.15,-0.1,1.266144122592028,2.8672006990859706e-08
V,pairing,-0.1,-0.05,1.266212139168812,4.415148469050223e-08
V,pairing,-0.05,0.0,1.2613672986384583,3.664240224576787e-05
t0,stripe,1.2,1.25,-0.3398247041161892,1.1326757087815043e-05
t0,stripe,1.25,1.3,-0.3694942625645711,3.1923955212675962e-06
t0,stripe,1.3,1.35,-0.3932415089174276,5.587922968786069e-07
t0,stripe,1.35,1.4,-0.41774871317589984,2.069799931447854e-07
t0,pairing,1.2,1.25,-0.34051480025817565,0.003116933269260433
t0,pairing,1.25,1.3,-0.3688567913419091,9.093227726353339e-07
t0,pairing,1.3,1.35,-0.3932411861162418,5.67757978409133e-07
t0,pairing,1.35,1.4,-0.417748830411188,3.330240572196897e-07
