t0,V,branch,status,selected,records,last_mode,last_raw_stored_iteration,raw_tail_spin_growth_ratio,raw_tail_median_spin_gain,raw_tail_median_spin_cosine,final_spin_bulk_rms,final_pair_bulk_rms,final_spin_gain,final_spin_relative_residual,final_global_relative_residual,source,source_sha256
1.4,-0.4,square__legacy_pairing_mixed_chi200_loose,fixed_point,False,6,unmixed_probe,6,1.0116696330439627,0.3673930312608546,0.26193403569714246,4.345629956897582e-08,0.0028248146532058927,0.3673930312608546,1.0839058882729184,3.859721670324126e-05,ladder_mps_mft/output/phase1_gpu/20260830_phase1_square_t014_vm04_seed_chi200_loose/results/square__legacy_pairing_mixed_chi200_loose/square__legacy_pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_legacy_pairing_m000/20260831T093334_481870_e93552440b67/state.h5,955aeaa19f392f0abc6bcc14837048b9f210ba70669e67bf50d3810d681d1f2b
1.4,-0.4,square__pairing_dwave_m000_chi200_loose,fixed_point,False,6,unmixed_probe,6,1.0671250885998051,0.1447482794303684,0.13854136786833238,4.4606070263552414e-08,0.0028247396048738565,0.6450537253537632,0.8629326212609256,2.1046399659115082e-05,ladder_mps_mft/output/phase1_gpu/20260830_phase1_square_t014_vm04_seed_chi200_loose/results/square__pairing_dwave_m000_chi200_loose/square__pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_pairing_m000/20260831T090951_447252_e93552440b67/state.h5,8a1cf2d64d2fbe0eb59521192b829cab43e19a4d7ac026519ea847f6ac0778b8
1.4,-0.4,square__stripe_m004_chi200_loose,fixed_point,False,6,unmixed_probe,6,0.14309785105848988,0.611906031992375,0.9999003069188881,3.965228676507656e-05,0.0028247784622540796,0.611906031992375,0.3881591260490884,0.002053777864128341,ladder_mps_mft/output/phase1_gpu/20260830_phase1_square_t014_vm04_seed_chi200_loose/results/square__stripe_m004_chi200_loose/square__stripe_control__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_m004/20260831T115229_142366_e93552440b67/state.h5,621dc1728d031f1af1cf336635176f031abf40b064e3a57875f337c1a06b1ffb
1.4,-0.4,square__stripe_m005_chi200_loose,fixed_point,False,6,unmixed_probe,6,0.13460601978195674,0.6033197998209394,0.9998931508202905,3.438617584991679e-05,0.002824745507740123,0.6033197998209394,0.3967391306719162,0.0018590662940147448,ladder_mps_mft/output/phase1_gpu/20260830_phase1_square_t014_vm04_seed_chi200_loose/results/square__stripe_m005_chi200_loose/square__stripe_control__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_m005/20260831T120914_1790056_e93552440b67/state.h5,2438a524dae6df758975fb6aee0d2694400d4756db7240b83d45191b3d9e7c13
1.4,-0.4,square__stripe_pairing_m004_chi200_loose,fixed_point,True,6,unmixed_probe,6,0.14307396658930185,0.6118731651592507,0.9998947333155718,2.7298342316950446e-05,0.002824754776245675,0.6118987489018303,0.38817064847370875,0.0014174987154577487,ladder_mps_mft/output/phase1_gpu/20260830_phase1_square_t014_vm04_seed_chi200_loose/results/square__stripe_pairing_m004_chi200_loose/square__coexistence__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_pairing_m004/20260831T123529_1798204_e93552440b67/state.h5,65fe7257bc8ffd5550b9e8b5ca320dffa31a11ca769616f9bbf66eb9223a59f4
1.4,-0.4,square__stripe_pairing_m005_chi200_loose,fixed_point,False,6,unmixed_probe,6,0.1343470268691529,0.6030024677893779,0.9998872907706093,2.4435167854470113e-05,0.002824739833520524,0.6032341337689636,0.3968287210782119,0.0013167568737912979,ladder_mps_mft/output/phase1_gpu/20260830_phase1_square_t014_vm04_seed_chi200_loose/results/square__stripe_pairing_m005_chi200_loose/square__coexistence__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_pairing_m005/20260831T140748_1937176_e93552440b67/state.h5,ab952d301e0f0c5c64c66ed6c3d02280c8d6ef904bda338f3b0c44b4aec49ca8
1.4,0.0,square__legacy_pairing_mixed_chi200_loose,fixed_point,False,6,unmixed_probe,6,1.1605516764365036,0.7407243889847451,0.8592048541444878,2.8521489070645804e-07,0.004493665865780232,1.0810201532709451,0.3097778857222149,0.00022676279620667116,ladder_mps_mft/output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__legacy_pairing_mixed_chi200_loose/square__legacy_pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_legacy_pairing_m000/20260902T234004_396550_75954fd2eaab/state.h5,b26694b3c8e6414ba4f5b7132cdbd1fd39fbca58e845b430972f7a44de9be26d
1.4,0.0,square__pairing_dwave_m000_chi200_loose,fixed_point,False,6,unmixed_probe,6,1.8411204390933917,0.8486654884096646,0.8394054385442193,3.342381926199603e-07,0.00449358967352828,1.1091674171574917,0.2218797334299753,0.00013484454574299543,ladder_mps_mft/output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__pairing_dwave_m000_chi200_loose/square__pairing_control__square_targeted_mode_independent_seed_exploratory__none__targeted_pairing_m000/20260902T230658_727249_75954fd2eaab/state.h5,09136f2860547305573031383fd85ce51e49e6719c4d8cb2a35f4a25def4e4d2
1.4,0.0,square__stripe_m004_chi200_loose,fixed_point,False,6,unmixed_probe,6,1.1410452870005738,1.059868521042635,0.9987029814364417,0.0008749720464056112,0.004492749441295182,1.0694196322488023,0.08039689363657365,0.004107951978069814,ladder_mps_mft/output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_m004_chi200_loose/square__stripe_control__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_m004/20260903T014952_181603_75954fd2eaab/state.h5,02ce3ec545f38854969426c247797481254b4b9d78110fce125ebcac2a9d9471
1.4,0.0,square__stripe_m005_chi200_loose,fixed_point,False,28,anderson,21,1.3807161870161573,1.0960690880684731,0.9998606397437174,0.0004968624724778246,0.004494646738597357,0.9922009973256307,0.016020985254632143,0.00037213608052507724,ladder_mps_mft/output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_m005_chi200_loose/square__stripe_control__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_m005/20260903T022716_1694688_75954fd2eaab/state.h5,85c3704fedcd9675c1c2c21fe33d9af5dfeebb1bca97b1b204809e5aed62d819
1.4,0.0,square__stripe_pairing_m004_chi200_loose,fixed_point,True,25,anderson,21,1.3772367106334573,1.0965516756392888,0.9998627847827948,0.0003845736654136113,0.004494452272229467,0.9918289822655537,0.037475475329408446,0.0018425065211997251,ladder_mps_mft/output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_pairing_m004_chi200_loose/square__coexistence__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_pairing_m004/20260903T041433_1712511_75954fd2eaab/state.h5,9e7e1680ad0891495df6916908d7230b7e85d065dec96ef4aace701e9d3b20c6
1.4,0.0,square__stripe_pairing_m005_chi200_loose,fixed_point,False,25,anderson,21,1.3735359330522592,1.096806480576873,0.999850896401296,0.0003717457160514628,0.004494351650614062,0.9917019215614049,0.03205687672717637,0.001566295164098141,ladder_mps_mft/output/phase1_gpu/20260902_phase1_square_t014_v000_seed_chi200_loose_cuda130/results/square__stripe_pairing_m005_chi200_loose/square__coexistence__square_targeted_mode_independent_seed_exploratory__none__targeted_stripe_pairing_m005/20260903T050833_725956_75954fd2eaab/state.h5,3879fc9f2200be41a5ef03567c6a4201d37ee7c118019837bb4dd052be6d4220
1.0,-0.2,square__smooth_pairing_t010_vm02_chi200_loose,fixed_point,True,17,unmixed_probe,17,1.0020645744457202,1.0004534658643025,0.9999999340498976,0.032776842052341895,3.050213785737354e-11,1.000037429261406,0.0002720520256083894,0.00022325184446648973,ladder_mps_mft/output/phase1_gpu/20260903_phase1_square_grid_smooth_pairing_chi200_loose/results/square__smooth_pairing_t010_vm02_chi200_loose/square__smooth_mixed_pairing_grid_control__square_smooth_mixed_pairing_independent_grid_fill__none__smooth_mixed_pairing_common_s1404/20260906T175632_922126_aa99161dab34/state.h5,5f32bb818ed76abbdfea75957c1de5c81d9aee3811cfe2d19bc6306b5c35ead0
1.0,-0.4,square__smooth_pairing_t010_vm04_chi200_loose,diverging,True,30,anderson,21,1.002505230188746,1.0002170680765585,0.99999040886943,0.028264228095572573,4.2040766559552815e-10,0.9774239423985072,0.03774406703770016,0.038249990097144373,ladder_mps_mft/output/phase1_gpu/20260903_phase1_square_grid_smooth_pairing_chi200_loose/results/square__smooth_pairing_t010_vm04_chi200_loose/square__smooth_mixed_pairing_grid_control__square_smooth_mixed_pairing_independent_grid_fill__none__smooth_mixed_pairing_common_s1404/20260906T175631_922125_a1d8bf414c7d/state.h5,a20c93bf341a1cbfda934ddcd99e0b3b221e4b483ae23a54435a964eb41177ec
1.2,0.0,square__smooth_pairing_t012_v000_chi200_loose,fixed_point,True,6,unmixed_probe,6,2.9550846644230715,1.3573807049110846,0.909352732502194,2.0113686505225396e-06,0.0024255081462351176,1.4288578709507296,0.33022303011309695,0.00023153999391713358,ladder_mps_mft/output/phase1_gpu/20260903_phase1_square_grid_smooth_pairing_chi200_loose/results/square__smooth_pairing_t012_v000_chi200_loose/square__smooth_mixed_pairing_grid_control__square_smooth_mixed_pairing_independent_grid_fill__none__smooth_mixed_pairing_common_s1404/20260907T173948_397727_a1fcc10a3139/state.h5,ddbc473f5c51daa376e724870dc29210b54d8cb44d25c9a2d412d6c91331b1c6
1.2,-0.2,square__smooth_pairing_t012_vm02_chi200_loose,fixed_point,True,6,unmixed_probe,6,2.2932842633931685,1.0410036036483392,0.9490776946486065,1.2404342096619998e-06,0.0022056245578216476,1.1495040377557417,0.1851214990625895,8.684537817382533e-05,ladder_mps_mft/output/phase1_gpu/20260903_phase1_square_grid_smooth_pairing_chi200_loose/results/square__smooth_pairing_t012_vm02_chi200_loose/square__smooth_mixed_pairing_grid_control__square_smooth_mixed_pairing_independent_grid_fill__none__smooth_mixed_pairing_common_s1404/20260907T130400_1296769_0bb6393e4cf8/state.h5,27d7c95f8694c626d758747e1ae0fd8ce0fe8e3cafe4a41f582e7677fb53f9e0
1.2,-0.4,square__smooth_pairing_t012_vm04_chi200_loose,fixed_point,True,5,unmixed_probe,5,0.9391543762962091,0.8504385485618213,0.8660481123925168,2.8863975916985594e-07,0.002053922899094308,1.071540784076835,0.2310099089173061,8.406430243158593e-05,ladder_mps_mft/output/phase1_gpu/20260903_phase1_square_grid_smooth_pairing_chi200_loose/results/square__smooth_pairing_t012_vm04_chi200_loose/square__smooth_mixed_pairing_grid_control__square_smooth_mixed_pairing_independent_grid_fill__none__smooth_mixed_pairing_common_s1404/20260907T125841_1380897_9bc2a45ffc54/state.h5,57e2e383afa23b77322a005bc066c4373af9bb24f2cb3aa5882b6926176ef984
