iteration,update_mode,relative_residual,absolute_residual,energy_per_site,density_error,pair_d_rms,spin_odd_rms,charge_modulation_rms,alpha_residual_l2,beta_residual_l2,mu_cdw_residual_l2
1,initial,1.0003792754407528,0.01742792708506864,-1.0365302271373715,0.00037504148776401625,0.0016759630088234573,1.5463514056075307e-06,0.0006127219506668957,0.035587375176713044,0.3718832217368821,0.058430953908272694
2,unmixed_probe,0.03425277355186307,0.0006916771019308751,-1.031661464048411,0.00010091012718382864,0.0019846763345304414,2.939135337659665e-06,0.000307237739445631,0.006461138690349072,0.009907195272097599,0.005265265266686791
3,unmixed_probe,0.004168821355461151,0.00010545445281513223,-1.0317849710107563,0.0006562281225861444,0.0020063726444229883,6.48204943158478e-06,0.00034364656654288663,0.000526359436785996,0.0010987439738868055,0.0009564660520428874
4,unmixed_probe,0.0011456718636505122,3.936491470338428e-05,-1.0317757996939327,0.0005448989018721484,0.002010499838807687,1.5129318712441916e-05,0.0003306265993083914,0.00011948347312938308,0.0002829290097431245,0.0002947367229476488
5,unmixed_probe,0.0009183651079368746,3.866513889076934e-05,-1.0317779379695906,0.0005718448383231767,0.002010467242550295,3.606007767249652e-05,0.0003336509132685173,1.9804157070121567e-05,8.694213363362944e-05,0.00032927870246523893
6,unmixed_probe,0.002169583332970285,9.159444013763767e-05,-1.0317772601108655,0.0005536239399638321,0.002011953141425645,8.697263069095128e-05,0.0003298537228430957,6.692958581691268e-05,0.00013860466336627054,0.0007910854718606774
7,unmixed_probe,0.005421017620990507,0.00021944528149447614,-1.0317777585128483,0.0005658157513154238,0.002010622935505743,0.00021449965477894094,0.0003334039827754107,0.00011035737282706825,0.00030389263199375,0.001987633301529183
8,unmixed_probe,0.013661344343410813,0.0005254156643825629,-1.0317775570889611,0.0005544794101732808,0.002010292522621554,0.0005341894538042457,0.00033248660694741,0.00024912083408429217,0.0007462769869615185,0.005014433804633636
9,unmixed_probe,0.03479711815799933,0.001342748702464648,-1.0317777112351623,0.000515883860779609,0.0020049174364301227,0.0013442045284754666,0.000340759344769168,0.0006348419557301193,0.0019203437512815228,0.0127864480297763
10,unmixed_probe,0.09015408052907822,0.0035606842609925216,-1.0317774927594112,0.0002663717754748385,0.001969964920070769,0.0034492731941388756,0.0003988834692240472,0.001730937025005728,0.005209320138940814,0.033382598294947684
11,unmixed_probe,0.25055892707323413,0.010928178360680146,-1.03178740817024,0.0006931024697958144,0.0016015596654776663,0.009698952146581912,0.0009777348231923375,0.008214597119862076,0.018308593078583763,0.09856789703365387
12,unmixed_probe,0.33493525361269827,0.015431021508624056,-1.032226584741537,0.0003244374577255904,0.0004448303120107994,0.019554675559887488,0.002037145144584897,0.023350781570881676,0.029452886215244237,0.15888272248380386
13,unmixed_probe,0.17599643493788283,0.009250567865454733,-1.0335177547497223,1.5240185712306342e-05,7.207300277049108e-05,0.02487054815180727,0.002597430053769447,0.007809589447375666,0.016094225249272887,0.09568419868925906
14,unmixed_probe,0.06775924964472205,0.0049086368112346325,-1.0344665843292689,3.7672284802781064e-07,1.0520565582839835e-05,0.026718799580358527,0.0028341296074032313,0.0013147107289194677,0.006834660784752839,0.038674117296914015
15,unmixed_probe,0.023203058598755273,0.001961600512914316,-1.0348608386133746,8.073436585931404e-09,1.4977444136672055e-06,0.027288769304340196,0.0029163376121358084,0.00019218041900071205,0.002505542317016443,0.013430498615913979
16,unmixed_probe,0.008199702254531833,0.0006705613519292636,-1.0349925166846496,2.6346869130833284e-10,2.1080442932482343e-07,0.02746550858137927,0.0029442874984241386,2.7322323326307592e-05,0.001004755098647501,0.004746208655739124
17,unmixed_probe,0.004239881100267345,0.0004197873330981719,-1.0350337029728285,1.0263800920284893e-10,2.9592309664845796e-08,0.027526040515582967,0.0029547917158309566,3.841198148597238e-06,0.0006270258676811158,0.002432715219595521
