iteration,density,chemical_potential,field_absolute,field_relative,energy_per_site,status
1,0.937502256,2.23022108,0.01595,0.2021,-0.332063467864,iterating
2,0.937499821,2.23441752,0.00788,0.108,-0.331696258016,iterating
3,0.93750526,2.23441752,0.008629,0.1247,-0.331639724463,iterating
4,0.937503016,2.23220682,0.01143,0.147,-0.331725407335,iterating
5,0.93750181,2.22784794,0.01318,0.1463,-0.33192504075,iterating
6,0.937505141,2.22784794,0.01062,0.1071,-0.332214024494,iterating
7,0.937501496,2.22784794,0.005769,0.05942,-0.332485886526,iterating
8,0.937500414,2.22784794,0.002549,0.0301,-0.332653912539,iterating
9,0.937500137,2.22784794,0.001249,0.01647,-0.332735769931,iterating
10,0.937500051,2.22784794,0.0008637,0.01029,-0.332773130666,iterating
11,0.937500024,2.22784794,0.0006131,0.007352,-0.332790416952,iterating
12,0.937500011,2.22784794,0.0004599,0.005851,-0.332798849578,iterating
13,0.937500006,2.22784794,0.0004349,0.005077,-0.332803132254,iterating
14,0.937500001,2.22784794,0.0004146,0.004637,-0.332805539027,iterating
15,0.937500002,2.22784794,0.000395,0.004328,-0.332807014263,iterating
16,0.937499997,2.22784794,0.0003751,0.004077,-0.332807913259,iterating
17,0.9375,2.22784794,0.0003594,0.003873,-0.332808614052,iterating
18,0.937499998,2.22784794,0.0003423,0.003682,-0.332809061644,iterating
19,0.937499992,2.22784794,0.0003268,0.003508,-0.332809434852,iterating
20,0.937499998,2.22784794,0.0003128,0.003344,-0.332809741916,iterating
21,0.9375,2.22784794,0.0003055,0.003225,-0.332809927721,iterating
22,0.937499997,2.22784794,0.0002908,0.003069,-0.332810153453,iterating
23,0.937499995,2.22784794,0.0002779,0.002938,-0.332810382638,iterating
24,0.937499996,2.22784794,0.0002653,0.002797,-0.332810501486,iterating
25,0.9375,2.22784794,0.0002555,0.002685,-0.332810596836,iterating
26,0.9375,2.22784794,0.0002451,0.002565,-0.332810626153,iterating
27,0.937499999,2.22784794,0.0002353,0.00245,-0.332810742858,iterating
28,0.937499997,2.22784794,0.0002288,0.002356,-0.33281081113,iterating
29,0.937499995,2.22784794,0.0002199,0.002248,-0.332810897349,iterating
30,0.937499998,2.22784794,0.0002108,0.002145,-0.332810983691,iterating
31,0.937499996,2.22784794,0.0002016,0.002054,-0.332811009113,iterating
32,0.9375,2.22784794,0.000193,0.001962,-0.332811025993,iterating
33,0.9375,2.22784794,0.0001849,0.001879,-0.332811146422,iterating
34,0.9375,2.22784794,0.0001769,0.00179,-0.332811198212,iterating
35,0.9375,2.22784794,0.0001689,0.001709,-0.332811219151,iterating
36,0.9375,2.22784794,0.0001627,0.001637,-0.332811249673,iterating
37,0.9375,2.22784794,0.0001564,0.001563,-0.332811332809,iterating
38,0.937499999,2.22784794,0.0001492,0.001492,-0.332811369783,iterating
39,0.937499999,2.22784794,0.0001431,0.001428,-0.332811431493,iterating
40,0.937499999,2.22784794,0.0001374,0.001366,-0.33281149741,iterating
41,0.937499999,2.22784794,0.0001311,0.001304,-0.332811490893,iterating
42,0.9375,2.22784794,0.0001254,0.001249,-0.332811535106,iterating
43,0.9375,2.22784794,0.0001199,0.001195,-0.332811554337,iterating
44,0.9375,2.22784794,0.0001144,0.001141,-0.332811570908,iterating
45,0.937499999,2.22784794,0.0001097,0.001093,-0.332811610333,iterating
46,0.9375,2.22784794,0.000105,0.001046,-0.332811522836,iterating
