id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spatial_cell,charge_rms,spin_rms,bulk_density,rung_anomalous_rms,pair_uniform,pair_uniform_weight_fraction,state_group,short_raw_abs,short_connected_abs,long_raw_abs,long_connected_abs,charge_short_connected_abs,charge_short_connected_signed,charge_long_connected_abs,charge_long_connected_signed,charge_stripe_q_connected,charge_stripe_q_contact,charge_stripe_q_offsite,spin_short_connected_abs,spin_short_connected_signed,spin_long_connected_abs,spin_long_connected_signed,spin_stripe_q_connected,spin_stripe_q_contact,spin_stripe_q_offsite,diagnostic,diagnostic_sha256,source_sha256
backfill_1,square,1.4,-0.4,200,False,maximum_iterations,80,,square__stripe_weak_other_t014_vm04_chi200_raw,2.2854337627421784e-07,one_ladder,0.002087908946840955,4.225104564448998e-07,0.9343931943581559,0.10639077329873514,0.10636614078991716,0.9995369963674678,uniform_pairing,0.02318890458585962,0.011816318662429642,0.011660888606997308,0.0003036075135236697,0.0014279722950209864,-0.0014279722950209864,1.6819598482769883e-05,1.6493808726021917e-05,0.047379262575455994,0.04983691764910375,-0.0024576550736477576,0.010532739702460596,0.005148743534223025,4.5598104234750835e-07,-2.063972343661369e-07,0.32419612669271763,0.1810962251061223,0.14309990158659533,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260908_square_two_basin_95_5_80_anchors/square__stripe_weak_other_t014_vm04_chi200_raw/diagnostics.h5,8a11df83607d603622143424a56910c61895f13729e2b5795fca7c0b44daca4f,ae97780dee31476e45346b4c8c15091292b99dd0656b1f00e240ea992c1e2d30
backfill_2,square,1.4,-0.4,200,False,maximum_iterations,80,,square__pairing_weak_other_t014_vm04_chi200_raw,4.0769982992872636e-07,one_ladder,0.002087995725107573,3.2361151955560854e-07,0.9343952457159223,0.10639004259443137,0.10636540587136842,0.9995369139836497,uniform_pairing,0.023188374014131926,0.011815947097374982,0.011660748960442844,0.00030361322927313427,0.001427849470502519,-0.001427849470502519,1.6820813132987702e-05,1.649541590625352e-05,0.04737866786316116,0.04983611825489312,-0.0024574503917319593,0.010533121743002954,0.005149097244359531,4.5684836797819475e-07,-2.0652564492718893e-07,0.3242008407843246,0.18109675733407904,0.14310408345024556,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260908_square_two_basin_95_5_80_anchors/square__pairing_weak_other_t014_vm04_chi200_raw/diagnostics.h5,4674c869ac9fee36b8d071775658347e4933580c3a24c92f9ee859207b7f5680,57038bae236ae83115ca95731af069bab8380c4fdba56721aa455420936bfb5e
backfill_15,square,1.4,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t014_vm02_chi200_raw,5.18294669876523e-07,one_ladder,0.0032095554320102984,3.3257085740142943e-06,0.9313706518709983,0.1000507760600974,0.10001948189543144,0.9993745321773716,uniform_pairing,0.022007722402886377,0.011963453385340637,0.010296065668849441,0.00024755539947320056,0.0014916338817743027,-0.0014916338817743027,1.5567510232514037e-05,1.3108618195927751e-05,0.047329793623831475,0.05089086605458346,-0.003561072430751988,0.010044098156878385,0.004971396462974428,3.9309142506619384e-07,-1.8946247634661238e-07,0.31717732418357375,0.17928589846862697,0.13789142571494678,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t014_vm02_chi200_raw/diagnostics.h5,39cf0b7fd9862601e7eb38be6d2c55ff7619412ace1b4ae8e8282e2e339caf39,5419cad001eb8a343e9064d10768e1670d585c05778cd41e9f6575c9b1c2fa25
backfill_16,square,1.4,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t014_vm02_chi200_raw,3.9349478411342814e-08,one_ladder,0.003209611982184812,1.183242563456406e-06,0.9313676400359551,0.1000508804673739,0.10001958263517625,0.9993744595395722,uniform_pairing,0.0220084225594134,0.01196412071368455,0.010296085157321689,0.0002475537910917326,0.001491829397548028,-0.001491829397548028,1.5565110706663317e-05,1.3104449491244713e-05,0.04733047366947243,0.050892003772582406,-0.003561530103109979,0.010043766862505715,0.0049712454591917575,3.928556182006089e-07,-1.893773398432396e-07,0.31717320500957796,0.1792850474286268,0.13788815758095116,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t014_vm02_chi200_raw/diagnostics.h5,b9eaaf3079a9cae9f6d1c52f9ad883794cc866d233b9dc3c9147d1181f452342,b6e42277e91da2d4049d974b87fed64bc9ea745a9bf1d7e3194790c220ab5590
backfill_38,square,1.4,-0.05,200,False,maximum_iterations,60,,square__pairing_weak_other_t01400_vm0050_chi200_raw,6.5797945174640195e-06,one_ladder,0.003315158173355811,0.003327902892363358,0.9306495658499537,0.097115806313703,0.09708913304581471,0.9994507669567385,uniform_pairing,0.020701628641855478,0.01124730525236122,0.00964812010835025,0.00018434512294234992,0.0013996452386179983,-0.0013996452386179983,1.2639670068947113e-05,8.904473816958165e-06,0.04637212642957347,0.05095747942522227,-0.0045853529956488,0.00975543371840009,0.004857041918632857,3.5042580722787614e-07,-1.647324889935856e-07,0.31330499778204085,0.17857945935338204,0.1347255384286588,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__pairing_weak_other_t01400_vm0050_chi200_raw/diagnostics.h5,d30c197026430b41641dfd2d5edb2fab690e08782556932eb0cd15d72ff6a93a,9ae557f5224b3a6a7ad1c5f0ce5d69bcc62ffbdab6952fab729f50288e7ff9be
backfill_39,square,1.4,-0.1,200,False,maximum_iterations,60,,square__stripe_weak_other_t01400_vm0100_chi200_raw,2.1548563466121883e-05,one_ladder,0.003283567702908738,0.0002673116631771098,0.9308664729079489,0.09797851842615828,0.09795028977407172,0.9994238617596459,uniform_pairing,0.02114539270057418,0.011519105463182204,0.009839871603880147,0.0002059140746293338,0.0014351590771421192,-0.0014351590771421192,1.3779658617003115e-05,1.0448772170946325e-05,0.04673418232705578,0.05095803688328479,-0.004223854556229013,0.009857966757659677,0.004898177096653801,3.632405080744859e-07,-1.7350058124670232e-07,0.31463398368296436,0.17878936917043645,0.1358446145125279,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__stripe_weak_other_t01400_vm0100_chi200_raw/diagnostics.h5,9730fe3f44837c0b473bc5a774db435895fc2b86bef2211a8c67e2fb512d6ace,9ac513efba7fbc50a90f5f170e5afb04a2dd2941cf8830559734187404cbafb2
backfill_40,square,1.4,-0.1,200,False,maximum_iterations,60,,square__pairing_weak_other_t01400_vm0100_chi200_raw,1.3347724167373128e-06,one_ladder,0.003283004669261924,1.4890007266350236e-05,0.9308685056475637,0.09797880528797115,0.09795058711819357,0.9994240773555307,uniform_pairing,0.021144970145047178,0.011518633006823499,0.009839921066869334,0.00020591325652850987,0.0014350279015932308,-0.0014350279015932308,1.378087486569284e-05,1.0451468539984424e-05,0.04673374265845976,0.05095727982439305,-0.004223537165933287,0.009858180075392091,0.004898235671189059,3.632276960199781e-07,-1.7347936029473723e-07,0.31463667184924987,0.17879003403232643,0.13584663781692344,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__pairing_weak_other_t01400_vm0100_chi200_raw/diagnostics.h5,94bb8b730f8d05522502541e2a7d1a8bae387806ba4fe4bab5147382440d7af8,af04064898ba361bbaf10d6b5aa036bad04c9664a65ac2d9b859eee1579b4eb6
backfill_41,square,1.4,-0.15,200,False,maximum_iterations,60,,square__stripe_weak_other_t01400_vm0150_chi200_raw,4.3773115907799406e-07,one_ladder,0.003273228733994445,2.018778636303213e-06,0.931077568704659,0.09895308509825573,0.09892299636079585,0.9993919509861117,uniform_pairing,0.021586404749304323,0.011764579004690287,0.010055018048324576,0.00022695487608714987,0.0014675646887914557,-0.0014675646887914557,1.470172246211087e-05,1.1807531366681508e-05,0.047058317319231435,0.05094565855184491,-0.0038873412326134726,0.009950658505699381,0.004934988142278625,3.7691773575221916e-07,-1.820208788814148e-07,0.31587875814458366,0.179015223043959,0.13686353510062466,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__stripe_weak_other_t01400_vm0150_chi200_raw/diagnostics.h5,bbd133e1141f380024ae848be0bf8e175d85b2460adc5d494f37f39cb330982c,530ac249df828be7f5a01e2e9bcb3771f4d7a2558606ad52dd96dca40e419def
backfill_42,square,1.4,-0.15,200,False,maximum_iterations,60,,square__pairing_weak_other_t01400_vm0150_chi200_raw,9.693160471340307e-08,one_ladder,0.003273408308792737,2.1177181655199425e-06,0.9310744029653001,0.09895286488906616,0.098922765192483,0.9993917281986434,uniform_pairing,0.021587114572865548,0.011765313841122584,0.01005498024982637,0.0002269549217833195,0.0014677719602399887,-0.0014677719602399887,1.4699158727156931e-05,1.1803088571320077e-05,0.04705902896533622,0.05094684616610453,-0.0038878172007683065,0.009950349434298648,0.00493504160512618,3.7728670229459595e-07,-1.8225427643425453e-07,0.31587543435802345,0.17901424211942665,0.1368611922385968,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__pairing_weak_other_t01400_vm0150_chi200_raw/diagnostics.h5,21684059c7f66b2dae5b0841d1484254665cd71cd7d1baaafa78bb61ff7e0689,2c8a49bd53bd872df4eb5dc9f2764e4ce919ef7b93da31e2d5b5ffe272dc881a
backfill_44,square,1.25,-0.4,200,False,maximum_iterations,60,,square__pairing_weak_other_t01250_vm0400_chi200_raw,1.3741445594834742e-06,one_ladder,0.0035392106489547026,9.812855110326087e-05,0.9336924007883048,0.09350702044545212,0.09344261558170597,0.9986229336929145,uniform_pairing,0.01989883389012891,0.011091990820442595,0.009091539564189486,0.00030253178366670643,0.0013782684807981138,-0.0013782684807981138,2.6437848779213876e-05,2.5876932490642205e-05,0.046761686437996906,0.054426158211639895,-0.007664471773642989,0.015015387891346352,0.006953002439575915,4.435690586935321e-06,-1.7308676303063895e-06,0.35611452084116807,0.1694249258063091,0.18668959503485896,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__pairing_weak_other_t01250_vm0400_chi200_raw/diagnostics.h5,1acaf372d66927a491d2c50f83c41eca0ec2336ab28463d0ebbeb84926654a24,49dba968fbd46d6315cab8a6efa4c98f08f82b783341320962f7d9d322e22c23
