id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spatial_cell,charge_rms,spin_rms,bulk_density,rung_anomalous_rms,short_raw_abs,short_connected_abs,long_raw_abs,long_connected_abs,diagnostic,diagnostic_sha256,source_sha256
backfill_1,square,1.4,-0.4,200,False,maximum_iterations,80,,square__stripe_weak_other_t014_vm04_chi200_raw,2.2854337627421784e-07,one_ladder,0.002087908946840955,4.225104564448998e-07,0.9343931943581559,0.10639077329873514,0.02318890458585962,0.011816318662429642,0.011660888606997308,0.0003036075135236697,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260908_square_two_basin_95_5_80_anchors/square__stripe_weak_other_t014_vm04_chi200_raw/diagnostics.h5,8a11df83607d603622143424a56910c61895f13729e2b5795fca7c0b44daca4f,ae97780dee31476e45346b4c8c15091292b99dd0656b1f00e240ea992c1e2d30
backfill_2,square,1.4,-0.4,200,False,maximum_iterations,80,,square__pairing_weak_other_t014_vm04_chi200_raw,4.0769982992872636e-07,one_ladder,0.002087995725107573,3.2361151955560854e-07,0.9343952457159223,0.10639004259443137,0.023188374014131926,0.011815947097374982,0.011660748960442844,0.00030361322927313427,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260908_square_two_basin_95_5_80_anchors/square__pairing_weak_other_t014_vm04_chi200_raw/diagnostics.h5,4674c869ac9fee36b8d071775658347e4933580c3a24c92f9ee859207b7f5680,57038bae236ae83115ca95731af069bab8380c4fdba56721aa455420936bfb5e
backfill_3,square,1.0,-0.4,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_vm04_chi200_raw,0.00034828288086929753,one_ladder,0.0531757071406601,0.2545538892184178,0.9347956358200645,4.0627974622355953e-10,0.006309959411408169,0.006309959411408169,1.0411316305430032e-06,1.0411316305430079e-06,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t010_vm04_chi200_raw/diagnostics.h5,23ca2e2e2dd2bd5b7d223db377c8490c2c7f84deaa8e0d99028c77d1d7c1bafa,f3e6b660c55215ca5b7e7b83fe6da9364f172522f47b43fb92e9129766968ba3
backfill_4,square,1.0,-0.4,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_vm04_chi200_raw,0.00033243394149019053,one_ladder,0.05213502837092308,0.26104761746680416,0.9392671069103642,8.637935298041376e-08,0.005885302101300189,0.0058853021012991455,8.841761041037146e-07,8.841761042826454e-07,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t010_vm04_chi200_raw/diagnostics.h5,17789043d5003dca7b905a4211b3e8df2622ae9eb6c44ddde24f65d60d067d59,d1b962e15d313a57b58102f0e84400c98edff533885d9d2140befea2be2b72b1
backfill_5,square,1.0,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_vm02_chi200_raw,6.0156213213480066e-05,one_ladder,0.05468808421511347,0.25507378665776015,0.9291905046687808,9.167455359875356e-09,0.005853559493927908,0.005853559493927847,4.19874969614079e-07,4.1987496961847343e-07,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t010_vm02_chi200_raw/diagnostics.h5,6f2160ccb3fa4ba8589a549743321f0497fe77acbcea664a31857d9cac2855b6,99e0d6b8e413aad770ee01b551bdee77401343b5015673e8bea5a568892ee710
backfill_6,square,1.0,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_vm02_chi200_raw,4.698762382743466e-05,one_ladder,0.054759136655766365,0.25574499930495587,0.9296340285991179,1.504948255171489e-08,0.005802480454505592,0.005802480454505501,4.0588495890293873e-07,4.058849589003041e-07,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t010_vm02_chi200_raw/diagnostics.h5,3117b9d104431d5450cefe543a3de251988eede30a54637ce2dd2dba4cb87d25,48b59eaa180a18ea547d5cb38584afac04709f72e77b7d231feab660588c0f52
backfill_7,square,1.0,0.0,200,False,maximum_iterations,40,,square__stripe_weak_other_t010_v000_chi200_raw,6.08744383791903e-05,one_ladder,0.05563088056201811,0.2618196179421099,0.9277596256645416,1.4611171280221676e-09,0.005138808467047604,0.005138808467047603,1.396088401052775e-07,1.3960884010531483e-07,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t010_v000_chi200_raw/diagnostics.h5,5482d4c4fac80658b10e0c210d8834172e24d6eaf1322733248fb6d7488a05bb,33018eda464eb220e8b95b08f993bf10fc1ec119ea03b465636a154fd495f81c
backfill_8,square,1.0,0.0,200,False,maximum_iterations,40,,square__pairing_weak_other_t010_v000_chi200_raw,4.799859866870147e-05,one_ladder,0.05565021988988003,0.26154068276437353,0.92758541855271,6.744270489861616e-09,0.00515454580231748,0.005154545802317465,1.400862569286292e-07,1.4008625692854433e-07,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t010_v000_chi200_raw/diagnostics.h5,8b8bf28e6e1c53c4699f2308b203b754cddd747f954a3ad8ab37a778e8d2b9bc,36e1c71f0e70f5f0f17da919dc0eb935c47da71c4734ecd5f560dacb00e4d04a
backfill_9,square,1.2,-0.4,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_vm04_chi200_raw,8.179686185841013e-05,one_ladder,0.04216872303258338,0.185285607929093,0.9397414873248531,3.6811634735607277e-07,0.012226663905603272,0.012226663905518426,0.00010965945676091394,0.0001096594567428936,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_vm04_chi200_raw/diagnostics.h5,46a364db5c509d86387a0e3ab22233dbbed09c6eb062a0c20c6fe78de104c7cd,3a7517a78e398ce7aff87c4c4e34d2813100b80ded04c1da2490a97df39dcb3f
backfill_10,square,1.2,-0.4,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_vm04_chi200_raw,0.00014567703055642011,one_ladder,0.042224452719565576,0.18397893445187533,0.9389760241996733,3.277761823218367e-06,0.012367749654503319,0.012367749643817186,0.00011257384742223829,0.00011257383720657682,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_vm04_chi200_raw/diagnostics.h5,2580f300897b86e26fd2092cbf7bf068553a1b4fe5b7393c8e75bf15dc7463bc,ff38cea3ce77a4d34db98ff9550de422467a191595b9bfc142ed41ee57bb4052
backfill_11,square,1.2,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_vm02_chi200_raw,7.687758204106198e-05,one_ladder,0.048295021708255136,0.20210549624820603,0.9311504027922949,1.3055482347893157e-09,0.010901843446260408,0.010901843446260408,3.224999404963796e-05,3.2249994049637786e-05,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_vm02_chi200_raw/diagnostics.h5,8cc05f5d9494cc59781f3702e27da74ac644c66714ca73e3b21054488d645ffc,09879e9b48727e0b3236492c1db73d9ac34cc69247c8756e224dca839f82766c
backfill_12,square,1.2,-0.2,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_vm02_chi200_raw,4.369901561225521e-05,one_ladder,0.048309916823279425,0.2022447391002995,0.9312596012642674,2.888132406791859e-08,0.010878534458005684,0.010878534458005424,3.173800780835922e-05,3.173800780832173e-05,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_vm02_chi200_raw/diagnostics.h5,21db952b410030cc2c36f1ff1e73f281208bac3247ea55f49ef409dc53d9e85a,9b6b07dabf7d4228cc763e8507d4be9af3388daa628914ee1fb640cec548a414
backfill_13,square,1.2,0.0,200,False,maximum_iterations,40,,square__stripe_weak_other_t012_v000_chi200_raw,6.867746931557193e-05,one_ladder,0.05177205213131164,0.21981760934136937,0.9283402538382252,7.171746283117951e-08,0.009016095194046912,0.009016095194042999,7.470320099873393e-06,7.470320098363729e-06,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t012_v000_chi200_raw/diagnostics.h5,74a0e0e1fcd8d4e3ebe987e8c3ed4fad5a5b72b365b50c97edd6e22612cf620b,fc60608b1122577ea5ddab083bcf43125be52f09cea565479abe1a5bf1913242
backfill_14,square,1.2,0.0,200,False,maximum_iterations,40,,square__pairing_weak_other_t012_v000_chi200_raw,4.5860471600558516e-05,one_ladder,0.05180047341832729,0.2198051910114257,0.9283398543422493,6.142537611865835e-08,0.009014001255914969,0.009014001255912594,7.5111730855937395e-06,7.5111730851857084e-06,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__pairing_weak_other_t012_v000_chi200_raw/diagnostics.h5,a9783cef194cc82875f7f8bd80136c699fa48313f9bac9eaadf1721b9509be91,005f43a840ed2f192f0db141415952cbc62e6bffe0bf592ea8073807f55116ec
backfill_15,square,1.4,-0.2,200,False,maximum_iterations,40,,square__stripe_weak_other_t014_vm02_chi200_raw,5.18294669876523e-07,one_ladder,0.0032095554320102984,3.3257085740142943e-06,0.9313706518709983,0.1000507760600974,0.022007722402886377,0.011963453385340637,0.010296065668849441,0.00024755539947320056,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260910_square_two_basin_95_5_40_remainder/square__stripe_weak_other_t014_vm02_chi200_raw/diagnostics.h5,39cf0b7fd9862601e7eb38be6d2c55ff7619412ace1b4ae8e8282e2e339caf39,5419cad001eb8a343e9064d10768e1670d585c05778cd41e9f6575c9b1c2fa25
