path,stage,error
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\frustrated__cdw_s1\cubic_frustrated__cdw__independent_seed__none__cdw_s1\20260824T034854_2158693_a1e2dc4ccbe2\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\frustrated__pairing_s1\cubic_frustrated__sc__independent_seed__none__pairing_s1\20260824T034506_2036560_a1e2dc4ccbe2\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\frustrated__sdw_s1\cubic_frustrated__sdw__independent_seed__none__sdw_s1\20260824T034731_1760020_a1e2dc4ccbe2\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\square__cdw_s1\square__cdw__independent_seed__none__cdw_s1\20260824T035608_1770347_984cc80a2de4\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\square__pairing_s1\square__sc__independent_seed__none__pairing_s1\20260824T035320_235446_984cc80a2de4\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\square__sdw_s1\square__sdw__independent_seed__none__sdw_s1\20260824T035320_235460_984cc80a2de4\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\unfrustrated__cdw_s1\cubic_unfrustrated__cdw__independent_seed__none__cdw_s1\20260824T035206_1737345_013e4e92dfc6\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\unfrustrated__pairing_s1\cubic_unfrustrated__sc__independent_seed__none__pairing_s1\20260824T035202_1948718_013e4e92dfc6\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\unfrustrated__sdw_s1\cubic_unfrustrated__sdw__independent_seed__none__sdw_s1\20260824T035206_1737242_013e4e92dfc6\state.h5,history_screen,"missing history/fields/applied/alpha, history/fields/applied/beta, history/fields/applied/mu_cdw"
output\phase1_gpu\20260903_phase1_square_t014_v000_legacy_frozen_dmrg_chi200\results\square__legacy_terminal_fields_frozen_dmrg_chi200\square__legacy_frozen_energy__legacy_terminal_fields_single_frozen_dmrg__from_legacy_terminal_fields__exact_legacy_terminal_fields\20260903T090543_55150_75954fd2eaab\state.h5,history_screen,fewer than two complete field-history records
