campaign,path,compact_sha256,full_sha256,status,accepted,period,schema,geometry,L,t0,V,chi,branch,iterations,density,target_density,mu,canonical_per_site,corrected_per_site,density_correction_scale,final_sweeps,last_sweep_change,dmrg_energy_tol,model_fp,numerical_fp,implementation_fp,registry_fp,stored_slow_rel
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\frustrated__cdw_s1\cubic_frustrated__cdw__independent_seed__none__cdw_s1\20260824T034854_2158693_a1e2dc4ccbe2\state.h5,28e1e24aecc056ed67c57719eca1b83d4b280311da4934a5582a42e5e6696e12,2a375e2afd82e355f6d54cdeb110d3f9ee93e6eec5804507f47aac527928ef2e,periodic_candidate,False,2,4,cubic_frustrated,64,1.1,-0.2,200,cdw,10,0.9374279486946762,0.9375,1.0377661419698672,-0.7925512632344334,nan,7.477240514981354e-05,0,nan,1e-08,a1e2dc4ccbe263d1060678eb0a51f20cabec9b02d7b7fcba7a23fa9af7e215bc,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\frustrated__pairing_s1\cubic_frustrated__sc__independent_seed__none__pairing_s1\20260824T034506_2036560_a1e2dc4ccbe2\state.h5,7a1352be5ba7a355cfc1a227738e469aa55dccf92da5f494a9ca8366c5058fd4,39d9c8078d32c7701a3fa9a3b38c13cd868a6be6bef8724f8e1c81e2c684ce12,periodic_candidate,False,2,4,cubic_frustrated,64,1.1,-0.2,200,sc,10,0.9374384772963822,0.9375,1.037748598952323,-0.7925395451152684,nan,6.384509948314259e-05,0,nan,1e-08,a1e2dc4ccbe263d1060678eb0a51f20cabec9b02d7b7fcba7a23fa9af7e215bc,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\frustrated__sdw_s1\cubic_frustrated__sdw__independent_seed__none__sdw_s1\20260824T034731_1760020_a1e2dc4ccbe2\state.h5,fa5b4ccb19ea1f426dbf3ceacf527efb7962dc51bc6095cc286bb1ccf6836fc5,1e816a9edbded842c0b20c89d69078dbf1b650c155f439ebbed106e8f7131896,periodic_candidate,False,2,4,cubic_frustrated,64,1.1,-0.2,200,sdw,31,0.9373591463081539,0.9375,1.0376931876951478,-0.7926264292423121,nan,0.00014616291649044305,0,nan,1e-08,a1e2dc4ccbe263d1060678eb0a51f20cabec9b02d7b7fcba7a23fa9af7e215bc,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\square__cdw_s1\square__cdw__independent_seed__none__cdw_s1\20260824T035608_1770347_984cc80a2de4\state.h5,770851b2c87e8f58025ced63cf9935b62823c06f7a1773360356199615525616,afb0925b7c9c76a8fc420f88c53b3a1aa91052b406591159347810962ef9792d,periodic_candidate,False,2,4,square,64,1.1,-0.2,200,cdw,28,0.9374966321047395,0.9375,1.0737800012943923,-0.8073671110817711,nan,3.616378577128841e-06,0,nan,1e-08,984cc80a2de439a0aba6eacffeccd706e16f20704ddd0a88bd8e3cb0a2aeefa0,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\square__pairing_s1\square__sc__independent_seed__none__pairing_s1\20260824T035320_235446_984cc80a2de4\state.h5,cd2c70e5e0ac46cb687a8abbe0c02c4ec512ae40fb4a9c272eb271a0dc9646d4,c08b90d8fbae3dab470ac6525ea2b1893eb041fe9cd7682cc78745d62d34402e,periodic_candidate,False,2,4,square,64,1.1,-0.2,200,sc,28,0.9374974003294483,0.9375,1.0879354572618785,-0.80782874620389,nan,2.8282737704127804e-06,0,nan,1e-08,984cc80a2de439a0aba6eacffeccd706e16f20704ddd0a88bd8e3cb0a2aeefa0,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\square__sdw_s1\square__sdw__independent_seed__none__sdw_s1\20260824T035320_235460_984cc80a2de4\state.h5,e95caa55dfe852fb0c0a2767b624beed2890c77eb33444d7a91c973f95a1a4bf,deec0510cd5dec0f2449ec1ed145207a05551ee8ee6db8cbad42d89786ddcd65,stagnated,False,0,4,square,64,1.1,-0.2,200,sdw,37,0.9374951906502247,0.9375,1.0897380614818628,-0.8078165734546836,nan,5.240931501139272e-06,0,nan,1e-08,984cc80a2de439a0aba6eacffeccd706e16f20704ddd0a88bd8e3cb0a2aeefa0,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\unfrustrated__cdw_s1\cubic_unfrustrated__cdw__independent_seed__none__cdw_s1\20260824T035206_1737345_013e4e92dfc6\state.h5,6008846c313a08e512d86d7cbd3d1a01fba2df02bda37264b3ef602181103a96,b22594d099af6c74fc03a8243f94461841ddc69b028a09e215b6edad3426882e,periodic_candidate,False,2,4,cubic_unfrustrated,64,1.1,-0.2,200,cdw,38,0.937497082457412,0.9375,0.9324108854070197,-0.8157303664000833,nan,2.720348467657811e-06,0,nan,1e-08,013e4e92dfc606761176ac1a5aa8a369ce0338a6d3751b52bd0ac720955bea5d,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\unfrustrated__pairing_s1\cubic_unfrustrated__sc__independent_seed__none__pairing_s1\20260824T035202_1948718_013e4e92dfc6\state.h5,ca10b350abe7e78e9be3bfcc41d940078c951da64163cd56b6929b464a166700,bb4c094f591bf24ecc16bffa2d160f323ea03cf16a801c1a414504d1c16b012e,periodic_candidate,False,2,4,cubic_unfrustrated,64,1.1,-0.2,200,sc,18,0.9376580802490935,0.9375,1.0085732178631077,-0.8112327154942868,nan,0.00015943550550880564,0,nan,1e-08,013e4e92dfc606761176ac1a5aa8a369ce0338a6d3751b52bd0ac720955bea5d,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260823_phase1_gpu_v2,output\phase1_gpu\20260823_phase1_gpu_v2\stateless_results\unfrustrated__sdw_s1\cubic_unfrustrated__sdw__independent_seed__none__sdw_s1\20260824T035206_1737242_013e4e92dfc6\state.h5,8fa1b6f0eca267a5856e76de57685ebfb679b03a1fe3ddae534e19c7cc8dc096,a18716812de1b83344f1196d11aed3d6c344231fcbfdb2276ef713bafa80a6d8,periodic_candidate,False,2,4,cubic_unfrustrated,64,1.1,-0.2,200,sdw,43,0.9374967668554746,0.9375,0.8062607324215562,-0.8157266452654597,nan,2.6067574731048275e-06,0,nan,1e-08,013e4e92dfc606761176ac1a5aa8a369ce0338a6d3751b52bd0ac720955bea5d,b0b631b1cefd447b6218f8f4cb713f0f2d8b565b8a0c271dbf8de21598a443d7,d7e3627db356075ad8d4d74f65642acfcf23c637b4a969c78df307bd7b95f1d4,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
20260824_phase1_gpu_v3_float64_history,output\phase1_gpu\20260824_phase1_gpu_v3_float64_history\stateless_results\frustrated__cdw_s1\cubic_frustrated__cdw__float64_recovery__from_20260823_phase1_gpu_v2__cdw_s1\20260824T232845_369685_a1e2dc4ccbe2\state.h5,f2fed51e39a57c12790aa86305e74ff9b57ab49cd19e8c1b17c04fe1279e1321,43323c002ff591addb8f4d797822587abd258d1b2b3f0c83c7671eb5d81fe886,fixed_point,True,1,5,cubic_frustrated,64,1.1,-0.2,200,cdw,34,0.937394500467635,0.9375,1.0379265255290173,-0.7926170993018984,nan,0.00010950076307259229,0,nan,1e-08,a1e2dc4ccbe263d1060678eb0a51f20cabec9b02d7b7fcba7a23fa9af7e215bc,d6e111ac768d0c62313076aa92b11e7ea83fa533249f45d419108768db799be7,c9652d9c07677175724210bfd8a98ca80ff6d4408b0071d6e1b7dfa0ef90cbf5,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e,
