label,cell,family,ladder,cell_sweep,energy_per_site,spin_rms,pair_rms,charge_std,density,global_relative,dmrg_last_sweep_delta
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,1,-0.5181418632870289,0.06271498511445085,0.00965140170965085,0.023056243358188667,0.9374903634742958,0.49951444500348074,2.039581659118994e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,2,-0.5185839753083035,0.08012014156399543,0.012190519059561073,0.022236787449603976,0.9374999986796908,0.1686662900721896,6.758740482837311e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,3,-0.5187445056372118,0.03255104773337444,0.016379793537465312,0.008595445772091181,0.9374967738783078,0.1692273738005052,9.8813188742497e-09
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,4,-0.518798037805036,0.024855564794590276,0.017363836424165228,0.007635466067589266,0.937498996920097,0.045829182505767514,9.44241946854163e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,5,-0.5188130424356819,0.013301713489638151,0.017798769212936813,0.005858531330662263,0.9375005902304183,0.04179914649390276,1.720394493531785e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,6,-0.5188178666120539,0.008827873417029284,0.01790151307348062,0.005865543704663817,0.9375002444163499,0.017627152548938426,3.4629238143679686e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,7,-0.5188194811650461,0.005446601536175938,0.01794608649656879,0.005688590805443049,0.9374985049824776,0.01275320631388965,4.150308541284176e-09
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,8,-0.5188200339530514,0.0035915498786584553,0.01795857678466757,0.005682554651749787,0.9375090254111292,0.007270788300925947,8.675061167195963e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,9,-0.5188202617109348,0.0023547823205948824,0.017965308987905756,0.005651681412267263,0.937501011831017,0.004878231246330901,4.8612548653181875e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,10,-0.518820282119008,0.0015798716533930214,0.01796758183211881,0.005653904763917516,0.9375034163976368,0.0030967759798051046,4.335752237238921e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,11,-0.5188203658236984,0.0010643520021478164,0.01796860227228676,0.005651482523023603,0.9375040249337319,0.0020630188013137742,1.723097568628873e-06
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,12,-0.5188202857182627,0.0007212403696105103,0.017968265698256866,0.005654425893632986,0.9374934114502609,0.001379876251146927,9.057998795469757e-10
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,13,-0.5188202925283044,0.0004897392687709157,0.01796857553537312,0.005652871962426537,0.9374954353631945,0.0009277722642342932,7.955989076435799e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,14,-0.51882031031915,0.0003338275149517979,0.01796869559838238,0.005653061759088264,0.9374950535108361,0.0006249344566721508,4.259243269189028e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,15,-0.5188203121452206,0.00022756074911285172,0.017968742886775274,0.005652843855564508,0.937495078922639,0.00042396055260625424,6.331544000204303e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,16,-0.5188203071536742,0.00015522894332988888,0.017968738754999113,0.0056528499136453665,0.9374953223498975,0.0002869273236647116,1.257338112736761e-06
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,17,-0.5188203038553534,0.00010573709688295468,0.01796868716553906,0.0056528646028009616,0.9374953599243716,0.00019591602157717817,4.481194082472939e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,18,-0.5188206176962847,7.27876667017801e-05,0.017970369023086883,0.0056320512928917064,0.9375024043952811,0.00014497878718041493,7.974870186444605e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,19,-0.5188203357705378,5.037434389907997e-05,0.017968951556122402,0.0056564384656287445,0.9374932040817161,0.00011634228247778548,4.511927613748412e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,20,-0.5188203176159274,3.471955608594247e-05,0.01796889953469413,0.005651130976882869,0.9374958518425272,6.545090690040025e-05,1.373788506953133e-06
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,21,-0.5188203381250825,2.4799127304349263e-05,0.017968818906494977,0.005652965589229557,0.9374948661132363,4.4795869200290255e-05,6.843879418738652e-08
