label,job_id,cell_sweep,spatial_ladders,energy_per_site,status
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,1,1,-0.518687442508,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,2,1,-0.518818894841,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,3,1,-0.518819894912,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,4,1,-0.51882028419,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,5,1,-0.51882032216,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,6,1,-0.518820294878,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,7,1,-0.518820304685,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,8,1,-0.518820614578,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,9,1,-0.518820304383,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,10,1,-0.518820303805,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,11,1,-0.518820304782,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,12,1,-0.518820332619,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,13,1,-0.51882061779,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,14,1,-0.518820320719,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,15,1,-0.518820335572,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,16,1,-0.518820336551,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,17,1,-0.518820333785,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,18,1,-0.518820590818,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,19,1,-0.518820333735,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,20,1,-0.518820364788,iterating
trellis__one_ladder__pairing_eps005_chi200_raw60,58468873,21,1,-0.518820331322,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,1,2,-0.516638867486,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,2,2,-0.516873658988,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,3,2,-0.517173021034,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,4,2,-0.517332339204,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,5,2,-0.517560354991,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,6,2,-0.517699094073,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,7,2,-0.517895374141,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,8,2,-0.518021677528,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,9,2,-0.518197004794,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,10,2,-0.518312456669,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,11,2,-0.518471616621,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,12,2,-0.518578843696,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,13,2,-0.51872415191,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,14,2,-0.518823876431,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,15,2,-0.518957099634,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,16,2,-0.519049329405,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,17,2,-0.519171274478,iterating
trellis__two_ladder__stripe_eps005_chi200_raw60,58468875,18,2,-0.519257203947,iterating
trellis__two_ladder__pairing_eps005_chi200_raw60,58468876,1,2,-0.518667545597,iterating
