label,cell,family,ladder,rung,physical_position,charge,spin_odd,rung_pair,leg_pair_right
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,1,1,0.9960004861950569,-3.3713791868686394e-05,-0.006366435692296045,0.006864473604610793
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,2,2,0.9900814151886594,3.314685693493746e-05,-0.011868170542151047,0.006437938114467914
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,3,3,0.9798880080072783,-3.744077000335244e-05,-0.017350104450019273,0.012102467434016915
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,4,4,0.9656991536502827,3.318303718308213e-05,-0.025692801533550372,0.015605493988760481
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,5,5,0.9514269523367913,-2.741577166258391e-05,-0.02966272199711485,0.016596621340123192
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,6,6,0.9374733341532744,6.968857335795664e-06,-0.032454997200531015,0.018383107008948338
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,7,7,0.9255056679520547,1.4513556842191133e-05,-0.03401557295660372,0.018494077681366794
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,8,8,0.9187853262976997,-2.052040956861123e-05,-0.03364774401964468,0.018100416495555077
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,9,9,0.9163695802885808,1.6064921133138177e-05,-0.03273659692614743,0.01755080529200346
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,10,10,0.9174234229210424,-6.219624656189637e-06,-0.03157295677525958,0.01691335125472796
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,11,11,0.9214536855738936,3.49367968142944e-06,-0.03066795856627358,0.016583751082629175
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,12,12,0.9263970326733654,-7.787752817789428e-06,-0.030191202966677995,0.016405021973299044
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,13,13,0.9310508575214327,3.318670832586079e-07,-0.030199659018014406,0.016570435084809525
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,14,14,0.934665486960213,-2.7605060517604807e-06,-0.03070658319926939,0.01693070868750926
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,15,15,0.9366848329055143,-3.6511057885935116e-06,-0.031440104345514086,0.017347337632108842
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,16,16,0.937164976318329,-9.779332833359522e-06,-0.03227321407934387,0.017808278223431416
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,17,17,0.9364353548106925,-6.905244842453362e-07,-0.0330562798710768,0.01818606762056524
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,18,18,0.9349934305151582,-1.1019763974592922e-05,-0.033640928794184066,0.01844112835677353
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,19,19,0.9333472391592472,-2.8966451552092654e-06,-0.03399662003738471,0.01857380360796891
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,20,20,0.931903383950949,-1.2356871943300374e-05,-0.03412884471412364,0.018594010882809552
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,21,21,0.9309070587429549,-2.7085096329232394e-06,-0.03409230724480545,0.018543407668357714
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,22,22,0.9304221745500934,-1.0989747067424727e-05,-0.033955767921473624,0.018455375242217405
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,23,23,0.9303875177445229,-4.460011551452037e-06,-0.03378434693556047,0.01836407184119026
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,24,24,0.9306663329061535,-9.734861435614639e-06,-0.03362927752797546,0.018291351501425322
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,25,25,0.9310931675041046,-6.34902786604552e-06,-0.03352297307565849,0.01824922544034873
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,26,26,0.9315262003735467,-8.638272571581673e-06,-0.03347666211294587,0.018239830013951134
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,27,27,0.9318659976439881,-7.2474579765613445e-06,-0.0334862451201091,0.018257181251330565
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,28,28,0.9320700499816653,-8.286257600201297e-06,-0.03353640784354486,0.01829149229788743
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,29,29,0.9321444220080883,-7.091645297913063e-06,-0.033607728589993516,0.018331953193951697
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,30,30,0.9321289614797756,-8.609405385662239e-06,-0.03368073844486838,0.0183686310890422
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,31,31,0.9320774689022759,-6.487783089384469e-06,-0.033739030564797545,0.01839379825400468
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,32,32,0.9320381683801696,-9.061661594839121e-06,-0.03377105442790469,0.018402743219386227
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,33,33,0.9320391463263991,-6.200867140884747e-06,-0.03377105391491013,0.01839378520621469
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,34,34,0.9320800461403147,-8.918526321927134e-06,-0.03373877426604532,0.0183684571134016
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,35,35,0.9321324385798858,-6.997064051092461e-06,-0.03368035412075818,0.018331795574300577
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,36,36,0.9321476902555035,-7.508137325640263e-06,-0.03360718077733258,0.018291119642078413
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,37,37,0.9320717042110718,-9.236174641893968e-06,-0.03353558325111793,0.018256726624232746
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,38,38,0.9318653918374146,-4.658295441065108e-06,-0.033485392045493306,0.018239394837766165
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,39,39,0.931522674286749,-1.2670893004648742e-05,-0.033475873116700715,0.01824874397528085
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,40,40,0.9310884445731673,-1.0143986968885743e-06,-0.03352215824538192,0.01829063716881089
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,41,41,0.930660906446523,-1.607981271393999e-05,-0.03362793563030664,0.018362498389804777
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,42,42,0.930382543494265,2.3030351547492778e-06,-0.03378258508005151,0.01845429082020187
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,43,43,0.9304178578291297,-1.770455008340277e-05,-0.03395417848880839,0.01854264352088223
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,44,44,0.9309044569991245,2.491418297861925e-06,-0.03409171418943685,0.018594528584379634
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,45,45,0.9319048025395257,-1.599084725133204e-05,-0.03412963566161425,0.018574731403292292
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,46,46,0.9333532413513584,-1.5456246731243573e-06,-0.03399908070902927,0.01844335199478096
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,47,47,0.9350046690107081,-9.692256043650205e-06,-0.03364622562355729,0.018188506053907382
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,48,48,0.9364515468821155,-6.280042963435761e-06,-0.0330623138746281,0.01780993031489651
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,49,49,0.9371865855893923,2.282287061991517e-06,-0.03227819308739496,0.01734903881457212
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,50,50,0.9367113317226217,-2.1400485265277158e-05,-0.03143997556637425,0.01693157076734917
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,51,51,0.9346905502643441,1.844220154949283e-05,-0.030703234772625404,0.01657047749022786
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,52,52,0.9310662747275651,-2.327132921482733e-05,-0.030195315146865485,0.016403039099938854
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,53,53,0.926400797205626,1.7032541946224167e-05,-0.030182514841142476,0.016582324033512324
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,54,54,0.9214433132275706,-1.8012815764745227e-05,-0.030658241928241726,0.016906419098093216
