t0,V,family,ep_mode,ep_signed,ep_t0_lower,ep_t0_upper,ep_V_lower,ep_V_upper,weight,model_fingerprint,numerical_fingerprint,implementation_sha256,ep_source_sha256
1.4,-0.05,stripe,linear_V,-0.16160336393289043,1.4,1.4,-0.2,0.0,0.7500000000000001,753b09e9a5718c73c82e7726f60166acf49ede7a8f66fe3179cc2b4b5a3fcfab,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.4,-0.05,pairing,linear_V,-0.16160336393289043,1.4,1.4,-0.2,0.0,0.7500000000000001,753b09e9a5718c73c82e7726f60166acf49ede7a8f66fe3179cc2b4b5a3fcfab,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.4,-0.1,stripe,linear_V,-0.17666899694661709,1.4,1.4,-0.2,0.0,0.5,36eefa51850679bfda61eab3e28e8d78dbbe8864f1ef3788c5609c91745295d7,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.4,-0.1,pairing,linear_V,-0.17666899694661709,1.4,1.4,-0.2,0.0,0.5,36eefa51850679bfda61eab3e28e8d78dbbe8864f1ef3788c5609c91745295d7,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.4,-0.15,stripe,linear_V,-0.19173462996034374,1.4,1.4,-0.2,0.0,0.25000000000000006,d3a3e5a84b771e6842c03fed54e4432a9785243f5526dbf3b3768c28a8d90eb0,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.4,-0.15,pairing,linear_V,-0.19173462996034374,1.4,1.4,-0.2,0.0,0.25000000000000006,d3a3e5a84b771e6842c03fed54e4432a9785243f5526dbf3b3768c28a8d90eb0,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.25,-0.4,stripe,linear_t0,-0.2508405031610721,1.2,1.4,-0.4,-0.4,0.2500000000000003,e1b89e251272dd1c97eb7a5aa8e3686d582826baa2498953826566e1f75fb056,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.25,-0.4,pairing,linear_t0,-0.2508405031610721,1.2,1.4,-0.4,-0.4,0.2500000000000003,e1b89e251272dd1c97eb7a5aa8e3686d582826baa2498953826566e1f75fb056,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.3,-0.4,stripe,linear_t0,-0.25043512171026805,1.2,1.4,-0.4,-0.4,0.5000000000000006,c5e3add0ce6dd325b7c81ea9a2ad8f7de59544b512526be0016784bc846fd8d0,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
1.3,-0.4,pairing,linear_t0,-0.25043512171026805,1.2,1.4,-0.4,-0.4,0.5000000000000006,c5e3add0ce6dd325b7c81ea9a2ad8f7de59544b512526be0016784bc846fd8d0,d928882239844f67c88e7020a4f1f3bf9ae009060c3dc5256406fcf6b18a8e2e,c054eb9690ce308e1dfb413bbc82d5e430eeecd3bf7f0b018acce267be9ccc99,2209bd2ca3c1ad02c0e542d1a9d63ecf90fdfa49120ad9cc3af599a5b4bc1f0e
