t0,V,family,job_id,campaign,source,source_sha256,full_source_sha256,config_sha256
1.4,-0.4,stripe,58093799,20260908_square_two_basin_95_5_80_anchors,output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,641277827094e384dbd6bede51334d20c4e00dd86d83d430a7ec8614af5e5f79,ae97780dee31476e45346b4c8c15091292b99dd0656b1f00e240ea992c1e2d30,311fbdb0aabf255bc289a95fe7038b3022a14c47157f70168b25ae55420eaf4c
1.4,-0.4,pairing,58093800,20260908_square_two_basin_95_5_80_anchors,output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__pairing_weak_other_t014_vm04_chi200_raw\square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005\20260910T084630_1156171_e93552440b67\state.h5,026b622a94291f03684a287c39f8ec7306dda36e160a72da138ef2158d91e90a,57038bae236ae83115ca95731af069bab8380c4fdba56721aa455420936bfb5e,51f8b04b206598da83e09edf1d919dcd74bdb4147545d5107794fe4f7f97face
1.4,0.0,stripe,58093802,20260908_square_two_basin_95_5_80_anchors,output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,ba38078fd047653251f321d14995e89acc2c63d05cdba8e1e41fac6b2a3b5bb0,9ad2d9ea1239727e577be2997a7a9f62e1e6aaeae0653bd8591448f55dc58ea5,b60b2174e7267fee9f1ea93275544ed3fcf1ca2ccc95e490a1dc55f846872db1
1.4,0.0,pairing,58093803,20260908_square_two_basin_95_5_80_anchors,output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__pairing_weak_other_t014_v000_chi200_raw\square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005\20260911T225246_847355_879c440a5602\state.h5,8d18a149ef1b6707f2377b35f9b5ed9ada97f6a287d693b09ede6b0c7e0c5ab9,d4b2ef33f8d969e23b519f08642f50eacfd158948c0b6710756613fd89344237,2adc59a4b22f0e35726e7f3a49667ba900c9c50d8e9421694518ce81a6366ad6
1.0,-0.4,stripe,58172797,20260910_square_two_basin_95_5_40_remainder,output\phase1_gpu\20260910_square_two_basin_95_5_40_remainder\results\square__stripe_weak_other_t010_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260912T173923_1536447_a1d8bf414c7d\state.h5,26c658924f2232d8d491df1947037a19910cb122f00836307fa848c55b0df3bd,f3e6b660c55215ca5b7e7b83fe6da9364f172522f47b43fb92e9129766968ba3,2e1cb254b560201f99c257d6f35fb099c5b1ec3c01ae8815a45a14be5c7dc5e6
1.0,-0.4,pairing,58172798,20260910_square_two_basin_95_5_40_remainder,output\phase1_gpu\20260910_square_two_basin_95_5_40_remainder\results\square__pairing_weak_other_t010_vm04_chi200_raw\square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005\20260912T190813_1459091_a1d8bf414c7d\state.h5,80f777ce99b180190f130e2825919d7f98d4a41affd6e79703c7ffa0c456622c,d1b962e15d313a57b58102f0e84400c98edff533885d9d2140befea2be2b72b1,dbcf769d517c905c858432b0ea07935d333f8f32122fb0547037666d91499e46
1.0,-0.2,stripe,58172799,20260910_square_two_basin_95_5_40_remainder,output\phase1_gpu\20260910_square_two_basin_95_5_40_remainder\results\square__stripe_weak_other_t010_vm02_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260913T013837_1707188_aa99161dab34\state.h5,fbfde1cbba0d7f1958d31540cd2c24816e08f2cf217d1ad9530e7191f3c1e629,99e0d6b8e413aad770ee01b551bdee77401343b5015673e8bea5a568892ee710,66825ba3dd885d3d643c5ab5dc090fa61675f40e873968af532d5851c9467f4f
1.0,-0.2,pairing,58172800,20260910_square_two_basin_95_5_40_remainder,output\phase1_gpu\20260910_square_two_basin_95_5_40_remainder\results\square__pairing_weak_other_t010_vm02_chi200_raw\square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005\20260913T013837_377777_aa99161dab34\state.h5,4e911d497cc13082adda7ed02c804e50e18137895b3438fd2fe0121ebdc56f10,48b59eaa180a18ea547d5cb38584afac04709f72e77b7d231feab660588c0f52,b70266279ef403e48b5458dcb3f96b3a5f03ffbd18da614caecfded5a3e02858
1.0,0.0,stripe,58172801,20260910_square_two_basin_95_5_40_remainder,output\phase1_gpu\20260910_square_two_basin_95_5_40_remainder\results\square__stripe_weak_other_t010_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260914T091752_1435932_24f85329a6cd\state.h5,aa2e81395e9be1939f1b2b0fb3990263d5b12b455f7926315b07f6ec73c59f40,33018eda464eb220e8b95b08f993bf10fc1ec119ea03b465636a154fd495f81c,55fbabc5210a596eb965df9f274079be7d30a5b8836a1c55c0b795663322a7f0
1.0,0.0,pairing,58172802,20260910_square_two_basin_95_5_40_remainder,output\phase1_gpu\20260910_square_two_basin_95_5_40_remainder\results\square__pairing_weak_other_t010_v000_chi200_raw\square__pairing_weak_other__square_two_reference_correlations_eps005_raw__none__pairing_eps005\20260914T111920_99881_24f85329a6cd\state.h5,a39c70fb204fb4eab46bca54a523f268c9aef6555e2bb7f021e191bb2688ecab,36e1c71f0e70f5f0f17da919dc0eb935c47da71c4734ecd5f560dacb00e4d04a,a8ecb67ed58c0c3c035c082f9dbbce2fba3850346f5b7e51149700d7ff0ebe86
