controls,t0,V,family,records,first_history_gate_pass,source_sha256,observation,global_fields,channels,global_slow_mode,energy,density,inner_dmrg,all_available_gates,energy_span_per_site
square_finish,1.4,-0.4,stripe,80,35,641277827094e384dbd6bede51334d20c4e00dd86d83d430a7ec8614af5e5f79,true,true,true,true,true,true,true,true,6.963305931861896e-9
cubic_unscaled_square_stress_test,1.4,-0.4,stripe,80,40,641277827094e384dbd6bede51334d20c4e00dd86d83d430a7ec8614af5e5f79,true,true,true,true,true,true,true,true,6.963305931861896e-9
square_finish,1.4,-0.4,pairing,80,27,026b622a94291f03684a287c39f8ec7306dda36e160a72da138ef2158d91e90a,true,true,true,true,true,true,true,true,1.1345931305584145e-8
cubic_unscaled_square_stress_test,1.4,-0.4,pairing,80,40,026b622a94291f03684a287c39f8ec7306dda36e160a72da138ef2158d91e90a,true,true,true,true,true,true,true,true,1.1345931305584145e-8
square_finish,1.4,0.0,stripe,80,0,ba38078fd047653251f321d14995e89acc2c63d05cdba8e1e41fac6b2a3b5bb0,true,false,false,false,true,true,true,false,3.4489074596244507e-8
cubic_unscaled_square_stress_test,1.4,0.0,stripe,80,0,ba38078fd047653251f321d14995e89acc2c63d05cdba8e1e41fac6b2a3b5bb0,true,false,false,false,true,true,true,false,3.4489074596244507e-8
square_finish,1.4,0.0,pairing,62,0,8d18a149ef1b6707f2377b35f9b5ed9ada97f6a287d693b09ede6b0c7e0c5ab9,true,false,false,false,false,false,false,false,6.462957489739019e-5
cubic_unscaled_square_stress_test,1.4,0.0,pairing,62,0,8d18a149ef1b6707f2377b35f9b5ed9ada97f6a287d693b09ede6b0c7e0c5ab9,true,false,false,false,false,false,false,false,6.462957489739019e-5
square_finish,1.0,-0.4,stripe,40,0,26c658924f2232d8d491df1947037a19910cb122f00836307fa848c55b0df3bd,true,false,false,false,false,true,false,false,2.1885694432288716e-6
cubic_unscaled_square_stress_test,1.0,-0.4,stripe,40,0,26c658924f2232d8d491df1947037a19910cb122f00836307fa848c55b0df3bd,true,false,false,false,false,true,false,false,2.1885694432288716e-6
square_finish,1.0,-0.4,pairing,40,0,80f777ce99b180190f130e2825919d7f98d4a41affd6e79703c7ffa0c456622c,true,false,false,false,false,true,false,false,2.2824270891064202e-6
cubic_unscaled_square_stress_test,1.0,-0.4,pairing,40,0,80f777ce99b180190f130e2825919d7f98d4a41affd6e79703c7ffa0c456622c,true,false,false,false,false,true,false,false,2.2824270891064202e-6
square_finish,1.0,-0.2,stripe,40,0,fbfde1cbba0d7f1958d31540cd2c24816e08f2cf217d1ad9530e7191f3c1e629,true,false,false,false,false,true,false,false,1.0332426947368134e-7
cubic_unscaled_square_stress_test,1.0,-0.2,stripe,40,0,fbfde1cbba0d7f1958d31540cd2c24816e08f2cf217d1ad9530e7191f3c1e629,true,false,false,false,false,true,false,false,1.0332426947368134e-7
square_finish,1.0,-0.2,pairing,40,0,4e911d497cc13082adda7ed02c804e50e18137895b3438fd2fe0121ebdc56f10,true,false,false,false,true,true,false,false,7.817202263282752e-8
cubic_unscaled_square_stress_test,1.0,-0.2,pairing,40,0,4e911d497cc13082adda7ed02c804e50e18137895b3438fd2fe0121ebdc56f10,true,false,false,false,true,true,false,false,7.817202263282752e-8
square_finish,1.0,0.0,stripe,40,0,aa2e81395e9be1939f1b2b0fb3990263d5b12b455f7926315b07f6ec73c59f40,true,false,false,false,true,true,false,false,6.754917114548675e-8
cubic_unscaled_square_stress_test,1.0,0.0,stripe,40,0,aa2e81395e9be1939f1b2b0fb3990263d5b12b455f7926315b07f6ec73c59f40,true,false,false,false,true,true,false,false,6.754917114548675e-8
square_finish,1.0,0.0,pairing,40,0,a39c70fb204fb4eab46bca54a523f268c9aef6555e2bb7f021e191bb2688ecab,true,false,false,false,true,true,false,false,3.1397710209546403e-8
cubic_unscaled_square_stress_test,1.0,0.0,pairing,40,0,a39c70fb204fb4eab46bca54a523f268c9aef6555e2bb7f021e191bb2688ecab,true,false,false,false,true,true,false,false,3.1397710209546403e-8
square_finish,1.2,-0.4,stripe,40,0,40a1fe9803d61578acdfa15419469f37b06b79a3b5558ba9b48ad472c36ca4cd,true,false,false,false,false,true,false,false,4.3127199944592576e-7
cubic_unscaled_square_stress_test,1.2,-0.4,stripe,40,0,40a1fe9803d61578acdfa15419469f37b06b79a3b5558ba9b48ad472c36ca4cd,true,false,false,false,false,true,false,false,4.3127199944592576e-7
square_finish,1.2,-0.4,pairing,40,0,52067a103397353854e7280480a542db2b11a6521165ad627a27dadf0ba66372,true,false,false,false,false,true,false,false,0.00015582427995175507
cubic_unscaled_square_stress_test,1.2,-0.4,pairing,40,0,52067a103397353854e7280480a542db2b11a6521165ad627a27dadf0ba66372,true,false,false,false,false,true,false,false,0.00015582427995175507
square_finish,1.2,-0.2,stripe,40,0,f4091a2a6aa3aa1d70f6fdfab68db8eeb65fab989cc7ce34327bd492356168f0,true,false,false,false,false,true,false,false,1.6478755382465238e-7
cubic_unscaled_square_stress_test,1.2,-0.2,stripe,40,0,f4091a2a6aa3aa1d70f6fdfab68db8eeb65fab989cc7ce34327bd492356168f0,true,false,false,false,false,true,false,false,1.6478755382465238e-7
square_finish,1.2,-0.2,pairing,40,0,24371474f9983185b4d7ee67e4f93b5a312051e99f018e52ce9fb162d0635dbd,true,false,false,false,true,true,false,false,6.36490891103847e-8
cubic_unscaled_square_stress_test,1.2,-0.2,pairing,40,0,24371474f9983185b4d7ee67e4f93b5a312051e99f018e52ce9fb162d0635dbd,true,false,false,false,true,true,false,false,6.36490891103847e-8
square_finish,1.2,0.0,stripe,40,0,857dac047e4ba9d84ae3cc7025bdb345406baf0657a08e04911575ae288a6965,true,false,false,false,false,true,false,false,1.024269471461281e-7
cubic_unscaled_square_stress_test,1.2,0.0,stripe,40,0,857dac047e4ba9d84ae3cc7025bdb345406baf0657a08e04911575ae288a6965,true,false,false,false,false,true,false,false,1.024269471461281e-7
square_finish,1.2,0.0,pairing,40,0,54f4d4cb1598891163d824a9e56f346a2b4ba79bb06554d568cc748dd246e435,true,false,false,false,true,true,false,false,4.224339200664673e-8
cubic_unscaled_square_stress_test,1.2,0.0,pairing,40,0,54f4d4cb1598891163d824a9e56f346a2b4ba79bb06554d568cc748dd246e435,true,false,false,false,true,true,false,false,4.224339200664673e-8
square_finish,1.4,-0.2,stripe,40,0,d9f752489b0ee8e89ef64db018f6a0c28e401c9a85f0e1d6a3218907d604e97d,true,false,false,true,true,true,true,false,1.2799986626177429e-9
cubic_unscaled_square_stress_test,1.4,-0.2,stripe,40,0,d9f752489b0ee8e89ef64db018f6a0c28e401c9a85f0e1d6a3218907d604e97d,true,false,false,true,true,true,true,false,1.2799986626177429e-9
square_finish,1.4,-0.2,pairing,40,0,ea59e1b2ae21a1007739603693f9bf312301bbf1c8e7bcc326fa969184785423,true,true,false,true,true,true,true,false,3.036280116219814e-10
cubic_unscaled_square_stress_test,1.4,-0.2,pairing,40,40,ea59e1b2ae21a1007739603693f9bf312301bbf1c8e7bcc326fa969184785423,true,true,true,true,true,true,true,true,3.036280116219814e-10
