campaign,family,t0,V,segment_iteration,cumulative_iteration,corrected_energy_per_site,spin_rms,pair_rms
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,1,1,-1.0351282286675532,0.32163697625016285,0.00042164330247370133
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,2,2,-1.0432486974268709,0.3374670125807995,7.299553403210341e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,3,3,-1.0448598084847338,0.3406798237140858,1.4035835495713865e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,4,4,-1.0451722737081584,0.341349350249133,2.7551166155693484e-06
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,5,5,-1.045234442593346,0.34149422325978135,5.502389472467993e-07
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,6,6,-1.0452474923081796,0.341526428570832,1.1038417311156232e-07
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,7,7,-1.0452503434933555,0.34153371466216975,2.218925785547292e-08
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,8,8,-1.045250978085164,0.3415354080470026,4.4621889825823006e-09
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,9,9,-1.0452511231344166,0.34153582394782284,8.974344965515973e-10
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,10,10,-1.0452511536049838,0.34153596375114764,1.8063347675383088e-10
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,11,11,-1.045251160580069,0.3415360344151353,3.627050728194551e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,12,12,-1.0452511645080687,0.34153608262108187,7.478712768007505e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,13,13,-1.0452511622570928,0.34153613937603605,1.9623083408825154e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,14,14,-1.0452511636423705,0.3415361919382017,1.203080930975517e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,15,15,-1.04525116627001,0.34153622975558084,8.108019983662489e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,16,16,-1.0452511633821517,0.3415362794700978,2.4869014151468562e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,17,17,-1.0452511640707527,0.34153633169504327,1.0602591724271875e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,18,18,-1.045251163609589,0.3415363868158635,1.0299339210731324e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,19,19,-1.0452511660546562,0.3415364094248133,1.2898381150220806e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,20,20,-1.0452511638595474,0.3415364597647799,3.9304288524491017e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,21,21,-1.0452511633294566,0.34153650613164194,2.0701032610705515e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,22,22,-1.0452511604779788,0.341536569003616,1.6610229589695518e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,23,23,-1.0452511633705943,0.3415366181164663,2.13714265910194e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,24,24,-1.0452511648920084,0.3415366589275239,3.733823404914464e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,25,25,-1.045251162822649,0.3415367104046103,1.0927988323234511e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,26,26,-1.0452511620181262,0.3415367691190844,2.5637699746637703e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,27,27,-1.045251164638276,0.3415368118229966,9.833285229185859e-12
