t0,V,family,pair_d_bulk_rms,charge_even_modulation_bulk_rms,spin_odd_bulk_rms,seed_sha256
1.0,-0.4,stripe,0.00019704165983859724,0.002848504428331506,0.027781249764032866,cc5a34ad79368094900feafa9f96b5b86b3edbbe825fea75dfbc46e2006ac8a6
1.0,-0.4,pairing,0.003745882434083872,0.00026845756752869385,0.0014621628731267661,ed0e3d16b8dd039ab1670240f27af563ec96c92f9a0936334bc445c26fd75f87
1.0,-0.2,stripe,0.0002280499566231304,0.003296771412978874,0.03215316400000719,95e5f19322be8d1349dc05fd7e5ae40b9ecbf9480346910f4e7e868ff25f4d2e
1.0,-0.2,pairing,0.004335369115891095,0.00031070453162147695,0.001692262337140514,ea01f656439d1a3ebfddeedcec3e6b51075e32f360594cfb01f9060553052d3c
1.0,0.0,stripe,0.00026590092284062007,0.003843958464567168,0.037489838219862036,5c4140c193c978816be93c0ed4acaa4c2d16ee2b555155fbf85ac25c433256fd
1.0,0.0,pairing,0.005054939127549223,0.0003622742267188564,0.0019731383587926004,1a6f795644038f7904d12a01c2548760f3138f83f60a21c8c458d25f3a4c893b
1.2,-0.4,stripe,0.00014024689981579242,0.0020274591449964807,0.01977365677697471,6545be24078dd02f751ef8ca30e49b5cc1537279f2e03a9ea3354d91bd07f97b
1.2,-0.4,pairing,0.0026661793190588534,0.00019107807764524816,0.0010407129647088576,a287d2318f7ddb0e39f2b2e39c08b6d132df86139b2b1c82ec9b2099e981a1b2
1.2,-0.2,stripe,0.00016424634681029844,0.0023744037002613695,0.02315738096859582,c11058b60741b3bf19658a49f2c664a1884908446acd288476797ebdd1ac223c
1.2,-0.2,pairing,0.0031224234808167584,0.0002237758998593749,0.001218802716894688,beec6d99dea80f83974c176d19c0b1db16afbc8647609699003c6dceb7e38fd8
1.2,0.0,stripe,0.0001958710461901902,0.0028315816204131997,0.027616202889325144,1f878fa2ca2b25860b6a1f12dbb316248feb4b7945f29f7480c3d57bba2d42ff
1.2,0.0,pairing,0.003723628352859329,0.00026686267590615747,0.0014534762440307754,77eeae2680a084bf7358ef936ef2f7366df7fc90360502f821c6d3cdbc4f5cfe
1.4,-0.4,stripe,0.0001411579245569584,0.0020406292431963055,0.019902103755630274,ceed5336288aa8fa4f9f4061d8f80cc08d1ecb6443a2280e4caf17698cdf800b
1.4,-0.4,pairing,0.0026834984564318575,0.0001923192947877154,0.0010474732942458902,958fcd5cdfe9da615b1416af2d0a5ce26e3a2f7303c57c74a932e31bfb325ee7
1.4,-0.2,stripe,0.00017038883752633355,0.002463201734240293,0.02402342152517257,ceb52611e2a36ac8e4f787e679e82b0e9cbe0eb450083db5df753c4b52e13431
1.4,-0.2,pairing,0.0032391959851367407,0.00023214467891627646,0.0012643835442226205,86e75a70208cb65bb154cb791d8e272360206e7b7a4aa1732bd4daa0eae0ccf5
1.4,0.0,stripe,0.00024045995653999727,0.003476174792689261,0.03390287168895232,521d7e3066e32843de7528584bb7a87907cfb5e8d1239a2aab7a04edcb618d83
1.4,0.0,pairing,0.004571290802369234,0.0003276124200012355,0.001784351701129898,ad2d9bf49a703b53099e5b25ad8331c6d6e00265e19dc866b8131f802b3fe1a5
