family,iteration,pairing_field_bulk_rms,spin_field_bulk_rms,stripe_template_projection,corrected_energy_per_site,global_relative_residual,density,inner_dmrg_pass
stripe,1,0.00010782403649124182,0.02865948826588769,0.8453021643951674,-0.6612314503796254,0.2668910317337965,0.9375092169502317,True
stripe,2,4.8494678701798965e-05,0.026583287060044133,0.7840388599806801,-0.6615704322936242,0.07033291359445613,0.937501616713763,True
stripe,3,2.362588886249534e-05,0.025514393242216778,0.7524200364851227,-0.661323189144609,0.037012015756179656,0.9375003113639556,True
stripe,4,1.2152932189039162e-05,0.024914606660783146,0.7346246765097086,-0.6612385390325373,0.02184590515822864,0.9375000686945887,True
stripe,5,6.4737426308022836e-06,0.024562988587848875,0.724158141537422,-0.6611905383854619,0.013450945401545691,0.9375000168485224,False
stripe,6,3.5211358641697383e-06,0.024351775856769686,0.7178484409610971,-0.6611636015365624,0.008558338350061966,0.9375000045804904,True
stripe,7,1.9388537983411803e-06,0.024223242259421556,0.7139912663679449,-0.6611475678389903,0.005652182786626053,0.9375000012910687,True
stripe,8,1.078034653511333e-06,0.024144773456615327,0.7116206779898441,-0.6611377916454797,0.003933306501773985,0.9375000003343741,True
stripe,9,6.020209396919658e-07,0.024097053711890793,0.7101629620779714,-0.6611317425468118,0.0029547039768631866,0.9374999996384636,True
stripe,10,3.373535609763469e-07,0.024068462138853827,0.7092725626911164,-0.6611279343184162,0.0024128989340450155,0.9375000000568798,True
stripe,11,1.8928887472870267e-07,0.024051804254018063,0.7087353684368984,-0.6611255368261193,0.0021164166123344252,0.9375000000263735,False
stripe,12,1.0635365429190294e-07,0.024042659657837567,0.7084195652256963,-0.6611240154393369,0.0019545216663582185,0.937500000030897,False
stripe,13,6.10816762200403e-08,0.024038245658113622,0.7082422759074816,-0.6611230411860959,0.001854533355952907,0.9374999999391859,True
stripe,14,3.584723933087067e-08,0.02403673419900535,0.7081491395799047,-0.661122438260238,0.0017830722086872486,0.9374999999112019,True
stripe,15,2.0209601061753045e-08,0.02403705740810464,0.708108121736692,-0.6611220646351949,0.0017367579732307735,0.9374999999624458,True
stripe,16,1.1262033134314796e-08,0.024038503029726446,0.708098357278187,-0.6611218269608017,0.0016884887699882807,0.9374999997714808,True
stripe,17,8.15129707667574e-09,0.024040709014362893,0.7081089686348266,-0.6611216795345312,0.0016526641629260842,0.9374999998027674,True
stripe,18,6.9536837088527035e-09,0.024043269774308894,0.708128425747701,-0.6611215988518004,0.0016067542438622424,0.9374999998966653,True
stripe,19,6.61742534929544e-09,0.02404609306478139,0.7081540233215081,-0.6611215479310102,0.0015653469047113525,0.9374999998828429,True
stripe,20,3.520507830604045e-09,0.024049026208359615,0.7081811008489436,-0.6611215301456614,0.0015346766392658386,0.9375000000015971,True
stripe,21,1.893055701215978e-09,0.024051947843899774,0.7082066855468556,-0.6611215224899888,0.0014920849680760881,0.9374999995380834,True
stripe,22,4.588489417734615e-09,0.02405481723032402,0.7082293008044456,-0.6611215396341632,0.0014635864693618088,0.9375000000030014,False
stripe,23,5.5051657798985295e-09,0.02405767806890348,0.7082507070300218,-0.661121548322844,0.001424423696249143,0.9374999999701643,True
stripe,24,6.633501877204395e-09,0.024060604890103147,0.7082728729422836,-0.6611215403890801,0.0013960806587825702,0.9374999998775155,True
stripe,25,6.046741358060899e-09,0.024063445863888155,0.7082911515679955,-0.6611215712701365,0.0013760491500599435,0.9374999999927971,False
stripe,26,3.273456813256572e-09,0.024066205002717805,0.7083065101441833,-0.6611215888928005,0.001338526966342267,0.9374999999958358,True
stripe,27,1.701441030597555e-09,0.024068803794760944,0.7083163979005265,-0.6611216041869106,0.0013112211181270407,0.9374999999961813,True
stripe,28,2.653782182580743e-09,0.024071413466003125,0.7083259266131888,-0.6611216040204111,0.001284186938152902,0.9374999995473627,False
stripe,29,2.244620423389834e-09,0.02407391766665103,0.7083315556019427,-0.6611216243011311,0.0012624204493783804,0.9374999996745217,True
stripe,30,1.7464695481978294e-08,0.02407641268126316,0.7083366538979262,-0.6611216345050467,0.001231776816052224,0.937499999275452,False
stripe,31,6.042430073607781e-09,0.024078774342682917,0.7083371184996382,-0.6611216567686918,0.0012144013117590827,0.9374999999855801,True
stripe,32,3.4830963376360596e-09,0.0240810832898203,0.7083358225099141,-0.6611216637526656,0.0011881154580914294,0.9374999997187015,True
stripe,33,2.2418046527624367e-09,0.02408334580501694,0.7083329117497367,-0.6611216702445151,0.0011645330576035688,0.9374999993331524,True
stripe,34,2.3240259203339236e-09,0.024085507438213933,0.7083261603466321,-0.6611216968412174,0.0011551851555163626,0.9374999989434807,True
stripe,35,5.845626281059665e-09,0.024087602936787588,0.7083174415448131,-0.6611217125473947,0.0011310198503568392,0.9374999989819068,True
stripe,36,5.194945843467616e-09,0.024089614739783403,0.7083063703573809,-0.661121730848775,0.0011063465546090102,0.9374999993735428,True
stripe,37,2.5721885716653197e-09,0.02409157348321429,0.7082935660305358,-0.6611217376712276,0.0010861370181402131,0.9374999995873364,True
stripe,38,1.963121391310959e-09,0.02409346534910431,0.7082791623752097,-0.6611217550459765,0.0010621859381335242,0.9374999999329273,True
stripe,39,1.0133790380206374e-09,0.02409535441332846,0.70826480589687,-0.6611217536234137,0.0010410594152297772,0.937499999894308,False
stripe,40,5.71178145238123e-10,0.02409716345908982,0.7082484373351181,-0.66112176936304,0.001018247800795153,0.9374999999554299,False
stripe,41,1.5996796505308821e-09,0.024098874957726255,0.708229425416003,-0.6611217868772529,0.000999682791453103,0.9374999999400075,True
stripe,42,5.874758787739303e-10,0.024100515022597954,0.7082084909747763,-0.6611217953993028,0.0009820437227797362,0.9374999999503154,True
stripe,43,5.356468025655137e-10,0.024102120377906922,0.7081870666083103,-0.6611218077153522,0.00095938008468421,0.9375000000187534,False
stripe,44,5.847712555444938e-10,0.024103740129395698,0.7081663726659679,-0.6611218024077933,0.0009425250433687942,0.9374999997026989,False
stripe,45,2.5688654243741146e-10,0.024105220588236925,0.7081416949023791,-0.6611218113615291,0.0009293455216893935,0.9374999997576264,True
stripe,46,1.1900190826868017e-10,0.024106713384563015,0.7081174543355154,-0.6611218178773295,0.0009160314904443426,0.9374999999536822,True
stripe,47,1.118321514887471e-09,0.02410814837616944,0.7080920232077791,-0.6611218295341156,0.000897268010762304,0.9374999998848762,False
stripe,48,5.003724889344664e-10,0.02410960294741986,0.7080674550704636,-0.661121827468504,0.0008849171648900019,0.9374999999549088,True
stripe,49,3.28821274788117e-10,0.02411096885157058,0.7080405132828227,-0.6611218382853561,0.0008711115227854443,0.9374999998551962,True
stripe,50,1.7785211708452125e-10,0.024112172476802966,0.7080089275674203,-0.6611218633016713,0.0008617816408591434,0.9374999999566015,True
stripe,51,1.9927649759436698e-10,0.024113370152506003,0.7079778026013054,-0.6611218682445617,0.0008436428004607489,0.9374999999574856,True
stripe,52,2.515769257941989e-10,0.02411447364073706,0.7079443295178988,-0.6611218906001816,0.0008304980327907766,0.9374999995459063,True
stripe,53,1.375556044686834e-10,0.02411567947320041,0.7079137738418015,-0.6611218729666238,0.0008250921814414459,0.9374999999600119,True
stripe,54,7.135662331204306e-11,0.024116829180119915,0.707882304349196,-0.6611218855009053,0.0008068501372922631,0.9374999999596454,True
stripe,55,5.2352317580362324e-11,0.02411787272294619,0.7078480550579588,-0.6611219022886897,0.0007949642290138087,0.9374999998449052,True
stripe,56,7.023711493272973e-11,0.024118923284644194,0.707814209822656,-0.6611219032355913,0.0007864133143966597,0.9374999999593268,True
stripe,57,5.037450810951789e-09,0.0241199077349321,0.7077791867331851,-0.6611219113977744,0.0007697386876645126,0.9374999995333786,True
stripe,58,2.459927347548615e-09,0.024120884730342004,0.7077443405657967,-0.6611219148588195,0.0007603325435787056,0.9374999999572906,True
stripe,59,1.2194985722134996e-09,0.02412184472395726,0.7077093187118824,-0.6611219235738927,0.0007519640607474483,0.937499999620955,True
stripe,60,6.0137325233712e-09,0.02412288136517096,0.7076758605711048,-0.6611219082823777,0.0007561145390840325,0.9374999992184692,True
stripe,61,3.0281849037913514e-09,0.024123872975531892,0.7076410487825643,-0.661121916571924,0.0007488982272536146,0.9374999997525569,True
stripe,62,1.4119943906108554e-09,0.02412473560343395,0.7076028270108584,-0.6611219512095767,0.0007412216661687245,0.9374999998937545,True
stripe,63,7.557960589411043e-10,0.024125576364254546,0.7075642846781315,-0.6611219576411984,0.0007313300626590552,0.9374999999741712,True
stripe,64,4.1356346575514615e-10,0.024126393132795635,0.7075256421551139,-0.6611219638732669,0.0007187144245921537,0.9374999995522667,True
stripe,65,7.159761004919681e-10,0.024127176482095152,0.707486628166984,-0.6611219716555073,0.0007053826893252164,0.9374999995815165,False
stripe,66,3.679095831943404e-10,0.024127988090208063,0.7074488817238853,-0.6611219677334239,0.000699631125511259,0.937499999945049,True
stripe,67,1.9461228641558381e-10,0.024128735843368436,0.7074095966182344,-0.6611219828260635,0.0006893600808273874,0.9374999999542318,True
stripe,68,7.477895334138701e-10,0.024129455417396552,0.7073701565274852,-0.6611219885685229,0.000677100732259551,0.9374999999620114,True
stripe,69,4.265007027726286e-10,0.024130189641662577,0.7073315156265917,-0.6611219920706753,0.0006691695444117096,0.9374999998803504,True
stripe,70,6.288345022541541e-10,0.024130931456016975,0.7072935305666803,-0.6611219897900027,0.0006596397602886204,0.9374999996234143,True
stripe,71,4.64905345790203e-09,0.024131602753330646,0.7072537802803016,-0.6611220016904193,0.0006505601165860856,0.9374999998317315,True
stripe,72,4.932006034010289e-09,0.024132256441784218,0.7072132370635019,-0.6611219985925035,0.0006526393616263381,0.9374999998965484,True
stripe,73,2.860788153221269e-09,0.024132866025691563,0.7071721452565691,-0.6611220110191153,0.0006398995465426841,0.9374999996572586,True
stripe,74,3.369171875720663e-09,0.02413344979789285,0.7071304583805603,-0.6611220141683145,0.0006352618529373684,0.9374999997745748,True
stripe,75,1.7659874937565777e-09,0.024134037779007397,0.7070892477082671,-0.6611220106405031,0.0006273945179438544,0.9374999997162368,True
stripe,76,1.923377099283352e-09,0.02413457394449426,0.7070470854133969,-0.661122019844805,0.0006180254720606093,0.937499999846564,False
stripe,77,1.010408952405919e-09,0.024135120749321986,0.7070056682017359,-0.6611220203399696,0.0006096317441510922,0.9374999995458642,True
stripe,78,5.551019362393904e-10,0.024135629469515647,0.7069638033357115,-0.6611220258468103,0.0005997878533981966,0.9374999996971218,False
stripe,79,2.985523071332421e-10,0.024136128883063164,0.7069220803001001,-0.6611220301450526,0.0005930345861573185,0.9374999994979587,False
stripe,80,1.7462171739294658e-10,0.024136612949016468,0.7068801978554057,-0.6611220330815781,0.0005875504165430753,0.9374999999505859,True
pairing,1,0.004501573221244311,0.0018161107380921838,1.0171116346521207,-0.6608512759838939,0.05679214402576319,0.9374943492358354,True
pairing,2,0.004488467600547756,0.0018536400967097114,1.0362748991195687,-0.6608661819487178,0.00949892329100167,0.937500263515882,True
pairing,3,0.004486060177524811,0.0018998410261241204,1.0589938291689642,-0.6608642320767171,0.007877969913642893,0.9375003418060467,True
pairing,4,0.004484691112206636,0.001956405769758283,1.086057403339616,-0.6608640535514151,0.00832618405226917,0.9375034687805931,True
pairing,5,0.004483641406140565,0.0020228613753038725,1.1168425378146927,-0.6608641686977983,0.00910630819050706,0.9374999249601271,True
pairing,6,0.0044823159563356935,0.0021004196453595224,1.151673957624306,-0.6608641966842163,0.009966043084849482,0.9375000756103612,True
pairing,7,0.00448077153681175,0.002190090454421433,1.1907357619042098,-0.6608642939901098,0.010900352563365244,0.9375000102683035,True
pairing,8,0.00447889674023373,0.0022931487769927913,1.2343595665640514,-0.660864417713049,0.011901103071706469,0.9375000786441392,True
pairing,9,0.004476700577738185,0.0024108508853532915,1.282887414197859,-0.6608645518948695,0.01296011553223654,0.937500263974706,True
pairing,10,0.004474061444633407,0.002544501429561605,1.3367021055471373,-0.6608647417921235,0.014069687577426123,0.9374999010955826,True
pairing,11,0.004470904991597862,0.0026953811217737536,1.3962076093592266,-0.6608649793468634,0.015218585488935319,0.937500120273851,True
pairing,12,0.004467154195978073,0.0028649624413700104,1.461905508553399,-0.6608652209877214,0.016396647562085063,0.9375037039015951,True
pairing,13,0.004462728426384288,0.0030541122905862993,1.5340888503406491,-0.6608656947086041,0.017559333307818857,0.9374970001978677,True
pairing,14,0.0044575261280507365,0.003264138820282672,1.613286002543418,-0.6608660638157104,0.018708674980595804,0.9375001454769217,True
pairing,15,0.004451365495040999,0.0034958744367169074,1.6998725395079428,-0.6608667042767097,0.019797105260871743,0.9375007560980873,True
pairing,16,0.004444039024041402,0.0037499823072599386,1.7942238256243144,-0.6608674829497906,0.020792574271261712,0.9375009296934387,True
pairing,17,0.004435544248132891,0.004026565562519303,1.8965395594396486,-0.6608684591259375,0.02165453430289028,0.9375010783218426,True
pairing,18,0.004425823333529923,0.004325321615354674,2.0069352135383753,-0.6608696438245308,0.02234870989092318,0.9375014046367934,True
pairing,19,0.004414686575846124,0.004645428371604864,2.125409430640862,-0.6608711132554798,0.022845802869470574,0.9375017207911597,True
pairing,20,0.0044020711350059106,0.004985478548177252,2.2517727710848114,-0.6608728766894956,0.023128643319424706,0.937502210933661,True
pairing,21,0.0043877772575325455,0.005343502274277479,2.385675921015201,-0.6608750051157695,0.023194095271720755,0.9375019320894834,True
pairing,22,0.0043720564585829815,0.005716914297125853,2.5266213829867485,-0.6608774038283326,0.023039782044527658,0.9375025742921348,True
pairing,23,0.004354848601351601,0.0061026315497408655,2.6738826888192775,-0.6608801357791602,0.02269241521090129,0.9375035740984775,True
pairing,24,0.004336145030882442,0.0064973346503260036,2.8266920668577313,-0.6608831949724764,0.022185196011483242,0.937502963343635,True
pairing,25,0.004315928981034456,0.006897794838148844,2.9842608347889366,-0.6608864652455873,0.021565916822656326,0.9375036428803006,True
pairing,26,0.004294413582547454,0.007300847449189197,3.1458325816845356,-0.660889945516107,0.020868247515292707,0.9375026394502267,True
pairing,27,0.004271624626854016,0.007704012296293919,3.3108402147834646,-0.6608934862780549,0.020153294005089837,0.9375030987734616,True
pairing,28,0.004247552272629491,0.008105109785842122,3.478762078990736,-0.6608971028228456,0.019449436420669562,0.9375029199995741,True
pairing,29,0.004222486845345783,0.008502546434961704,3.649274740538913,-0.6609006384216773,0.01878381458818854,0.9375030910503509,True
pairing,30,0.004196280805599129,0.00889537690070512,3.8222588522474643,-0.6609041414634463,0.018181491519554824,0.937502953598401,True
pairing,31,0.00416896737479436,0.00928318429061473,3.9977612437721195,-0.6609074615521036,0.01765365908094001,0.9375032113575128,True
pairing,32,0.004140436984054076,0.009665765849547798,4.175845600215055,-0.660910715649066,0.017198674003901775,0.9375025396418443,True
pairing,33,0.004110775386078948,0.010043708468569178,4.356852873259169,-0.6609137552072033,0.01683588529086416,0.9375023811133326,True
pairing,34,0.004079826995394395,0.010417754856847785,4.541186370491459,-0.6609166195365189,0.016557759117646693,0.9375029949660297,True
pairing,35,0.004047374369738278,0.01078868413239845,4.729233470025606,-0.6609193578543184,0.016355486158757558,0.9375023820546612,True
pairing,36,0.00401325805614692,0.011157614922705898,4.921482121238677,-0.6609219400325638,0.016235418877160294,0.9375024194667144,True
pairing,37,0.003977102918164789,0.011525983508102702,5.118551549672465,-0.6609243939585692,0.016205229358700363,0.9375027155104317,True
pairing,38,0.003938891809217279,0.011894678174491677,5.320880661414405,-0.6609267283559915,0.016226514348286144,0.9375018455762766,False
pairing,39,0.00389837713027058,0.012264614698517869,5.528815402177782,-0.660928957620577,0.016301097905048207,0.9375028534361555,True
