source,geometry,L,U,V,t0,tp,density_target,branch,status,stored_iteration,canonical_energy_per_site,corrected_canonical_energy_per_site,correction_kind,density,global_relative_residual
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,1,-0.6612163345812454,-0.6612314503796254,stored,0.9375092169502317,0.2668910317337965
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,2,-0.6615677808830535,-0.6615704322936242,stored,0.937501616713763,0.07033291359445613
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,3,-0.6613226785077218,-0.661323189144609,stored,0.9375003113639556,0.037012015756179656
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,4,-0.6612384263734118,-0.6612385390325373,stored,0.9375000686945887,0.02184590515822864
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,5,-0.6611905107538855,-0.6611905383854619,stored,0.9375000168485224,0.013450945401545691
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,6,-0.6611635940245579,-0.6611636015365624,stored,0.9375000045804904,0.008558338350061966
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,7,-0.6611475657216375,-0.6611475678389903,stored,0.9375000012910687,0.005652182786626053
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,8,-0.6611377910971057,-0.6611377916454797,stored,0.9375000003343741,0.003933306501773985
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,9,-0.6611317431397311,-0.6611317425468118,stored,0.9374999996384636,0.0029547039768631866
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_v000_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260911T163326_794697_879c440a5602\state.h5,square,64,8.0,0.0,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,10,-0.661127934225133,-0.6611279343184162,stored,0.9375000000568798,0.0024128989340450155
