source,geometry,L,U,V,t0,tp,density_target,branch,status,stored_iteration,canonical_energy_per_site,corrected_canonical_energy_per_site,correction_kind,density,global_relative_residual
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,1,-1.1668730920513581,-1.166870551258377,stored,0.9374951826581716,0.3805870136533854
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,2,-1.1672440803636561,-1.1672431952527067,stored,0.9374983608465663,0.24577676220042866
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,3,-1.1672391461103724,-1.1672390723925161,stored,0.9374998644515277,0.21599122831110557
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,4,-1.1673248807689514,-1.1673247065928924,stored,0.9374996807868635,0.18301877900887
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,5,-1.1673847202713554,-1.1673847290326784,stored,0.9375000160282717,0.10972986985376025
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,6,-1.1674020770959133,-1.1674003129737383,stored,0.9374967749910507,0.0683252094221413
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,7,-1.1674029092549538,-1.1674036248576456,stored,0.9375013078382815,0.04218904498966736
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,8,-1.1674043462264758,-1.167404460679441,stored,0.9375002091536806,0.025943087470922332
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,9,-1.1674046832881457,-1.167404689371445,stored,0.9375000111163331,0.015921060436404257
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,10,-1.167404761989122,-1.1674047572017565,stored,0.9374999912519181,0.009766334029833451
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,11,-1.1674078841477291,-1.1674048144942972,stored,0.9374943907393514,0.005991139317749476
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,12,-1.1674082401117927,-1.1674047957792135,stored,0.9374937060780231,0.0036753647140255873
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,13,-1.1674089813072928,-1.1674048068609582,stored,0.9374923719214323,0.0022549441723622404
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,14,-1.1674090199125573,-1.1674048001194897,stored,0.9374922890581217,0.0013841019905111095
C:\Users\Kevin\Documents\VS Code\MPS-MFT\ladder_mps_mft\output\phase1_gpu\20260908_square_two_basin_95_5_80_anchors\results\square__stripe_weak_other_t014_vm04_chi200_raw\square__stripe_weak_other__square_two_reference_correlations_eps005_raw__none__stripe_eps005\20260909T231851_497480_e93552440b67\state.h5,square,64,8.0,-0.4,1.4,0.1,0.9375,stripe_weak_other,maximum_iterations,15,-1.1674090845560208,-1.1674048009900009,stored,0.937492172524083,0.0008496130563933874
