Calculating pair binding energy for ladder
L = 16 rungs (32 sites)
U = 8.0
t0 = 1.0
density = 0.9375
N_particles = 30
t = 1.0 (fixed)
Calculating E(N) at density=0.9375...
After sweep 1 energy=-3.9954172334468456  maxlinkdim=6 maxerr=9.13E-12 time=25.407
After sweep 2 energy=-5.825461699330588  maxlinkdim=30 maxerr=8.37E-11 time=2.185
After sweep 3 energy=-6.736154655522178  maxlinkdim=63 maxerr=9.95E-11 time=0.851
After sweep 4 energy=-8.646924461126716  maxlinkdim=245 maxerr=9.99E-11 time=1.321
After sweep 5 energy=-10.686173751426294  maxlinkdim=600 maxerr=3.60E-09 time=6.451
After sweep 6 energy=-12.06787454773017  maxlinkdim=600 maxerr=4.74E-08 time=16.408
After sweep 7 energy=-12.986087771060841  maxlinkdim=600 maxerr=5.46E-08 time=22.173
After sweep 8 energy=-13.65306148156257  maxlinkdim=600 maxerr=1.24E-07 time=24.213
After sweep 9 energy=-14.147913397304325  maxlinkdim=600 maxerr=2.40E-07 time=24.661
After sweep 10 energy=-14.497911659099257  maxlinkdim=600 maxerr=3.10E-07 time=28.918
After sweep 11 energy=-14.869413462543815  maxlinkdim=600 maxerr=3.91E-07 time=30.586
After sweep 12 energy=-15.076496836695682  maxlinkdim=600 maxerr=4.51E-07 time=28.457
After sweep 13 energy=-15.24391862292584  maxlinkdim=600 maxerr=6.00E-07 time=25.124
After sweep 14 energy=-15.491923833514315  maxlinkdim=600 maxerr=7.23E-07 time=24.948
After sweep 15 energy=-15.719067329461787  maxlinkdim=600 maxerr=6.44E-07 time=27.831
After sweep 16 energy=-15.830083314243284  maxlinkdim=600 maxerr=5.42E-07 time=32.147
After sweep 17 energy=-15.911507167033797  maxlinkdim=600 maxerr=6.17E-07 time=27.943
After sweep 18 energy=-16.01086222987977  maxlinkdim=600 maxerr=8.41E-07 time=24.218
After sweep 19 energy=-16.137575524178743  maxlinkdim=600 maxerr=1.15E-06 time=29.763
After sweep 20 energy=-16.257999244339956  maxlinkdim=600 maxerr=1.53E-06 time=28.439
After sweep 21 energy=-16.34445850621636  maxlinkdim=600 maxerr=1.63E-06 time=32.283
After sweep 22 energy=-16.404186678082784  maxlinkdim=600 maxerr=1.48E-06 time=37.830
After sweep 23 energy=-16.455557993634464  maxlinkdim=600 maxerr=1.57E-06 time=31.556
After sweep 24 energy=-16.513702389584505  maxlinkdim=600 maxerr=2.02E-06 time=26.418
After sweep 25 energy=-16.575835814012542  maxlinkdim=600 maxerr=2.42E-06 time=25.943
After sweep 26 energy=-16.623358630516844  maxlinkdim=600 maxerr=2.23E-06 time=30.146
After sweep 27 energy=-16.650829289098095  maxlinkdim=600 maxerr=1.94E-06 time=28.813
After sweep 28 energy=-16.66500338969962  maxlinkdim=600 maxerr=1.73E-06 time=32.534
After sweep 29 energy=-16.674327640779012  maxlinkdim=600 maxerr=1.43E-05 time=31.630
After sweep 30 energy=-16.679139750498678  maxlinkdim=600 maxerr=1.28E-05 time=39.009
After sweep 31 energy=-16.679510555386  maxlinkdim=600 maxerr=5.45E-06 time=38.802
After sweep 32 energy=-16.679555725492715  maxlinkdim=600 maxerr=5.00E-06 time=29.491
After sweep 33 energy=-16.679562613407235  maxlinkdim=600 maxerr=4.93E-06 time=43.803
After sweep 34 energy=-16.679564194059544  maxlinkdim=600 maxerr=4.89E-06 time=44.231
After sweep 35 energy=-16.679564612946464  maxlinkdim=600 maxerr=4.89E-06 time=47.873
After sweep 36 energy=-16.679564678650625  maxlinkdim=600 maxerr=4.89E-06 time=45.750
After sweep 37 energy=-16.679564723080954  maxlinkdim=600 maxerr=4.90E-06 time=46.298
